trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,no trade,see-1.1213/unsee-1.5249/sell-2.0607/sell-7.416/,buy,buy-8.6672/confirm-10.0844/
2,1,0,103,10000,10,11030,9900,11,11033,no trade,sell-0.048088/see-1.998/unsee-5.2716/sell-6.2819/sell-7.4224/,buy,buy-7.597/confirm-8.8849/
3,1,0,107,10000,10,11070,9797,12,11081,sell,sell-0.048037/see-0.50251/unsee-4.0875/sell-6.7605/sell-7.4889/confirm-9.8319/,sell,sell-8.454/confirm-8.8378/
4,1,0,102,10107,9,11025,9904,11,11026,no trade,sell-0.9639/see-1.663/unsee-4.0639/see-4.702/unsee-5.3752/sell-10.0313/no trade-12.67/,sell,sell-7.5629/confirm-7.9663/
5,1,0,99,10107,9,10998,10006,10,10996,no trade,confirm-0.048357/see-1.8387/unsee-3.8077/no trade-9.1972/confirm-9.5351/,no trade,confirm-7.5982/
6,1,0,99,10107,9,10998,10006,10,10996,sell,see-0.45354/unsee-2.5434/sell-4.2976/sell-7.5019/confirm-9.0574/,buy,buy-7.4201/confirm-10.1481/
7,1,0,99,10206,8,10998,9907,11,10996,sell,see-6.9877/unsee-7.4369/sell-7.7032/confirm-8.6814/,sell,sell-7.4004/confirm-8.8232/
8,1,0,95,10305,7,10970,10006,10,10956,no trade,unsee-0.047941/see-1.1956/unsee-3.254/no trade-6.136/no trade-8.0312/confirm-9.2881/,no trade,confirm-7.9107/
9,1,0,95,10305,7,10970,10006,10,10956,sell,see-5.8884/unsee-6.6767/sell-7.2145/confirm-8.1985/,sell,sell-9.6681/confirm-10.1753/
10,1,0,91,10400,6,10946,10101,9,10920,no trade,confirm-0.048104/sell-3.7156/see-4.5366/unsee-5.9843/no trade-10.844/confirm-11.2466/,no trade,confirm-11.2546/
11,1,0,91,10400,6,10946,10101,9,10920,sell,sell-5.8241/sell-7.5066/confirm-8.2485/,buy,buy-9.8099/confirm-10.2018/
12,1,0,91,10491,5,10946,10010,10,10920,sell,see-3.1616/unsee-5.4905/sell-7.628/confirm-8.4541/,sell,sell-7.5229/confirm-9.0804/
13,1,0,87,10582,4,10930,10101,9,10884,buy,see-2.7724/unsee-6.6163/buy-8.1218/confirm-9.2314/,sell,sell-9.7757/confirm-10.0312/
14,1,0,87,10495,5,10930,10188,8,10884,sell,see-1.1415/unsee-4.7782/sell-5.7567/no trade-6.2109/sell-7.7275/confirm-10.514/,sell,sell-7.4503/confirm-7.8038/
15,1,0,83,10582,4,10914,10275,7,10856,no trade,sell-3.1632/see-3.8667/unsee-6.8521/sell-7.7848/buy-9.3436/no trade-10.6252/confirm-11.1852/,sell,sell-7.4824/confirm-7.9678/
