trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,no trade,buy-7.3534/see-11.5198/unsee-11.7148/,sell,see-1.8283/unsee-2.3504/sell-11.8732/confirm-12.5895/
2,1,0,97,10000,10,10970,10100,9,10973,buy,buy-0.033094/see-3.5446/unsee-4.0956/buy-7.4987/confirm-9.0627/,no trade,see-1.3906/unsee-2.3628/see-4.5753/unsee-5.2286/no trade-7.8803/confirm-12.1426/
3,1,0,100,9903,11,11003,10100,9,11000,sell,sell-9.6402/confirm-10.3558/,sell,unsee-0.048202/see-1.4296/unsee-7.1852/sell-8.2582/confirm-9.1728/
4,1,0,95,10003,10,10953,10200,8,10960,buy,unsee-0.033072/see-0.91199/unsee-1.3912/buy-7.6651/confirm-8.2944/,no trade,see-1.526/unsee-7.4353/see-7.9774/unsee-10.1886/confirm-11.962/
5,1,0,98,9908,11,10986,10200,8,10984,sell,unsee-0.033104/see-0.94649/unsee-2.8468/sell-7.516/confirm-8.1505/,sell,unsee-0.081109/see-1.4893/unsee-5.1638/buy-8.0847/sell-8.7146/sell-8.9787/confirm-10.1791/
6,1,0,94,10006,10,10946,10298,7,10956,buy,no trade-0.03299/see-2.5409/unsee-3.0563/see-3.2795/unsee-3.581/see-5.5161/unsee-7.0334/buy-7.466/see-8.4795/unsee-9.4691/confirm-9.6589/,buy,unsee-0.08111/see-0.98672/unsee-2.9997/see-3.3497/unsee-4.0395/see-6.3911/unsee-7.2907/buy-7.8606/confirm-9.1698/
7,1,0,99,9912,11,11001,10204,8,10996,no trade,see-2.1032/unsee-3.2792/see-3.9049/unsee-6.6902/confirm-8.3996/,sell,see-1.6565/unsee-2.2965/see-2.7407/unsee-3.2158/sell-3.4932/sell-8.0321/confirm-10.0553/
8,1,0,97,9912,11,10979,10303,7,10982,buy,unsee-0.032798/see-0.91162/unsee-1.1176/see-1.3637/unsee-1.965/buy-7.3653/confirm-8.1157/,buy,unsee-0.047749/see-3.1238/unsee-7.4752/see-9.9681/unsee-10.1893/no trade-10.7233/buy-11.2247/confirm-12.1561/
9,1,0,102,9815,12,11039,10206,8,11022,sell,sell-7.6643/confirm-8.5479/,sell,see-3.6905/unsee-5.0962/sell-5.5101/sell-7.5093/confirm-10.031/
10,1,0,97,9917,11,10984,10308,7,10987,buy,buy-7.3985/confirm-8.3352/,buy,see-4.031/unsee-4.284/see-4.7363/unsee-5.6333/buy-7.5592/confirm-9.7377/
11,1,0,102,9820,12,11044,10211,8,11027,sell,sell-7.3913/confirm-7.8283/,sell,unsee-0.047906/see-0.71406/unsee-4.1677/see-4.7817/unsee-5.0311/sell-7.7587/confirm-9.9911/
12,1,0,97,9922,11,10989,10313,7,10992,buy,unsee-0.049606/buy-7.3663/confirm-8.252/,sell,see-2.1899/unsee-3.7912/see-4.0415/unsee-4.4527/see-5.9394/unsee-6.3481/sell-7.6115/confirm-9.2696/
13,1,0,97,9825,12,10989,10410,6,10992,no trade,confirm-7.5072/,no trade,see-3.5251/unsee-4.2909/see-4.9242/unsee-5.311/no trade-12.371/confirm-12.6262/
14,1,0,97,9825,12,10989,10410,6,10992,no trade,confirm-11.1473/,sell,see-0.86161/unsee-1.932/see-2.5544/unsee-2.7812/sell-7.6414/confirm-8.3599/
15,1,0,95,9825,12,10965,10507,5,10982,buy,buy-7.3894/confirm-8.0671/,no trade,see-1.6719/unsee-4.7333/no trade-8.3381/no trade-9.8967/confirm-10.9312/
16,1,0,98,9730,13,11004,10507,5,10997,no trade,confirm-7.8232/,sell,see-3.0555/unsee-3.9102/see-4.3383/unsee-4.7246/sell-7.5073/confirm-7.9321/
17,1,0,96,9730,13,10978,10605,4,10989,buy,buy-7.3317/confirm-7.7524/,buy,unsee-0.047789/see-3.3274/unsee-4.4647/buy-7.9777/confirm-10.1046/
18,1,0,101,9634,14,11048,10509,5,11014,sell,sell-7.3117/confirm-7.7057/,sell,see-0.97419/unsee-1.9802/sell-7.4887/confirm-8.1233/
19,1,0,96,9735,13,10983,10610,4,10994,buy,buy-7.1469/confirm-7.6862/,no trade,see-1.5421/unsee-5.7391/no trade-8.1015/confirm-8.5234/
20,1,0,99,9639,14,11025,10610,4,11006,no trade,confirm-7.5119/,sell,see-1.0001/unsee-1.8466/see-2.2158/unsee-5.5012/sell-7.7328/confirm-8.5035/
21,2,0,97,9639,14,10997,10709,3,11000,buy,buy-7.2633/confirm-7.776/,buy,see-1.3036/unsee-2.8715/see-3.647/unsee-7.3742/buy-8.2467/confirm-8.77/
22,2,0,107,9542,15,11147,10612,4,11040,sell,sell-7.2843/confirm-7.6076/,sell,see-2.0337/unsee-2.8189/see-3.2019/unsee-4.0626/see-4.318/unsee-4.7511/see-6.984/unsee-7.2823/sell-7.6038/confirm-8.0314/
23,2,0,102,9649,14,11077,10719,3,11025,sell,see-1.9722/unsee-2.14/see-2.4399/unsee-3.3049/sell-7.3978/confirm-7.8134/,sell,sell-7.6735/confirm-8.1227/
24,2,0,97,9751,13,11012,10821,2,11015,no trade,confirm-10.4515/,buy,see-2.6387/unsee-3.4851/buy-7.8679/confirm-8.3961/
25,2,0,103,9751,13,11090,10724,3,11033,sell,unsee-0.033061/sell-7.316/confirm-7.8557/,sell,sell-7.6042/confirm-8.0308/
26,2,0,98,9854,12,11030,10827,2,11023,no trade,confirm-7.9599/,buy,buy-8.2389/confirm-9.2875/
27,2,0,104,9854,12,11102,10729,3,11041,sell,sell-7.546/confirm-8.1183/,sell,unsee-0.047519/see-0.91005/unsee-6.6788/sell-8.4407/confirm-9.0316/
