trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,buy-7.7423/confirm-8.7324/,no trade,sell-8.1009/
2,1,0,103,9900,11,11033,10000,10,11030,sell,sell-7.8527/confirm-8.8183/,no trade,sell-0.033726/see-0.54921/unsee-0.64349/see-1.6255/unsee-1.7473/see-2.347/unsee-2.4689/see-2.8866/unsee-4.3012/sell-7.8623/
3,1,0,100,10003,10,11003,10000,10,11000,buy,buy-7.4131/confirm-8.4514/,no trade,see-3.8551/unsee-3.9878/see-4.0802/unsee-4.1417/see-4.3101/unsee-5.3878/see-5.5812/unsee-7.5642/see-9.0343/unsee-9.2687/no trade-9.5726/no trade-10.0352/see-11.3284/unsee-13.001/
4,1,0,103,9903,11,11036,10000,10,11030,sell,sell-7.456/confirm-9.2295/,no trade,unsee-0.048493/see-2.961/unsee-6.0704/sell-7.7202/
5,1,0,100,10006,10,11006,10000,10,11000,buy,buy-7.4436/confirm-8.3682/,no trade,unsee-0.048469/see-1.3478/unsee-6.3295/no trade-9.1982/
6,1,0,103,9906,11,11039,10000,10,11030,sell,sell-7.7751/confirm-9.1168/,no trade,sell-2.4238/see-3.3146/unsee-4.8601/sell-7.4988/
7,1,0,100,10009,10,11009,10000,10,11000,buy,buy-7.4675/confirm-8.3103/,no trade,see-0.51152/unsee-2.3527/no trade-7.6577/
8,1,0,103,9909,11,11042,10000,10,11030,sell,sell-7.4244/confirm-8.4846/,no trade,unsee-0.048361/no trade-1.8682/see-2.2245/unsee-5.3446/sell-7.5013/
9,1,0,100,10012,10,11012,10000,10,11000,buy,buy-7.6066/confirm-8.7374/,no trade,no trade-7.973/no trade-9.1188/see-9.896/unsee-11.9182/
10,1,0,103,9912,11,11045,10000,10,11030,no trade,sell-7.3798/buy-7.7901/buy-8.7449/sell-9.2537/no trade-9.8009/confirm-10.7705/,sell,sell-2.8687/see-3.8866/unsee-4.3955/sell-7.4166/confirm-8.062/
11,1,0,100,9912,11,11012,10103,9,11003,no trade,confirm-8.2251/,sell,sell-7.6569/confirm-9.5527/
12,1,0,97,9912,11,10979,10203,8,10979,buy,buy-7.6306/confirm-8.6725/,no trade,no trade-7.3898/confirm-8.3418/
13,1,0,100,9815,12,11015,10203,8,11003,sell,sell-8.1724/confirm-9.529/,sell,see-1.1657/unsee-3.0599/sell-7.4733/confirm-8.1138/
14,1,0,95,9915,11,10960,10303,7,10968,buy,buy-7.9324/confirm-10.8594/,buy,buy-10.865/confirm-12.0616/
15,1,0,100,9820,12,11020,10208,8,11008,sell,sell-7.6121/confirm-8.297/,sell,see-5.033/unsee-6.5189/sell-7.4463/confirm-8.2004/
16,1,0,95,9920,11,10965,10308,7,10973,buy,buy-7.5693/confirm-8.812/,no trade,see-0.73654/unsee-3.2182/no trade-7.3884/confirm-7.9656/
17,1,0,98,9825,12,11001,10308,7,10994,buy,buy-8.1328/confirm-9.6283/,sell,see-1.1344/unsee-2.747/see-2.9682/unsee-3.4716/see-3.8539/unsee-5.104/sell-5.7216/see-5.7574/unsee-6.0615/sell-6.9568/sell-7.5206/confirm-8.9956/
18,1,0,98,9727,13,11001,10406,6,10994,sell,sell-7.3898/confirm-8.559/,no trade,no trade-2.1856/see-2.6617/unsee-6.8599/no trade-7.5768/confirm-8.9115/
19,1,0,96,9825,12,10977,10406,6,10982,no trade,buy-7.6272/sell-10.4375/no trade-11.4907/confirm-12.0828/,buy,unsee-0.032925/see-4.8733/unsee-6.4778/buy-7.5793/confirm-8.1075/
20,1,0,99,9825,12,11013,10310,7,11003,sell,sell-8.0402/confirm-9.6555/,sell,see-3.7415/unsee-5.8583/sell-7.4226/confirm-8.0349/
