trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,buy-7.896/confirm-9.1003/,sell,sell-8.309/confirm-8.9334/
2,1,0,100,9900,11,11000,10100,9,11000,buy,see-2.4464/unsee-3.2524/buy-8.1859/sell-9.1736/buy-10/confirm-10.8148/,sell,sell-4.6399/sell-9.8597/confirm-11.5898/
3,1,0,100,9800,12,11000,10200,8,11000,no trade,see-0.95651/unsee-1.4154/buy-7.6291/sell-8.9194/no trade-9.5605/confirm-9.9275/,sell,see-4.417/unsee-7.6068/sell-8.8734/confirm-10.7866/
4,1,0,97,9800,12,10964,10300,7,10979,buy,see-1.8999/unsee-2.5825/buy-7.4694/confirm-7.9433/,buy,see-1.9838/unsee-7.0616/buy-8.2538/confirm-8.7473/
5,1,0,102,9703,13,11029,10203,8,11019,sell,see-0.43419/unsee-1.6469/sell-7.5406/confirm-7.9872/,sell,see-1.8833/unsee-2.6405/sell-8.3416/confirm-8.7413/
6,1,0,97,9805,12,10969,10305,7,10984,buy,see-0.94493/unsee-2.2386/buy-7.5258/confirm-8.8393/,sell,see-1.5723/unsee-2.3655/buy-8.1768/sell-8.8585/sell-9.1497/confirm-11.3/
7,1,0,97,9708,13,10969,10402,6,10984,no trade,see-0.65066/unsee-1.7675/see-3.9111/unsee-7.2532/see-8.7312/unsee-9.3383/confirm-11.1253/,buy,see-0.51547/unsee-2.1028/see-7.0312/unsee-7.561/buy-7.7511/confirm-8.3176/
8,1,0,100,9708,13,11008,10305,7,11005,sell,see-3.2456/unsee-4.3012/sell-7.6363/confirm-8.2898/,no trade,see-2.2972/unsee-10.6523/
9,1,0,97,9808,12,10972,10305,7,10984,buy,see-0.9372/unsee-4.3015/buy-7.7566/confirm-8.5517/,buy,buy-0.047763/see-1.0433/unsee-3.3502/sell-9.6693/buy-10.1356/buy-10.3601/confirm-10.8837/
10,1,0,102,9711,13,11037,10208,8,11024,sell,see-1.1039/unsee-1.7336/sell-7.8148/confirm-8.6533/,buy,see-1.7124/unsee-2.5671/buy-8.1022/sell-8.6412/buy-9.5034/buy-9.7899/sell-11.0823/sell-11.2716/buy-12.2312/buy-12.4117/confirm-12.7809/
11,1,0,102,9813,12,11037,10106,9,11024,sell,unsee-0.047823/see-1.0317/unsee-2.2971/see-4.9532/unsee-5.521/sell-7.615/confirm-8.2058/,sell,see-1.4846/unsee-2.3419/buy-7.4886/sell-7.8021/sell-8.0309/confirm-8.5665/
12,1,0,97,9915,11,10982,10208,8,10984,buy,see-1.2254/unsee-1.9897/buy-7.6893/confirm-8.8152/,buy,sell-8.7898/buy-10.3685/buy-10.5651/confirm-10.8802/
13,1,0,102,9818,12,11042,10111,9,11029,sell,see-2.0886/unsee-3.0311/sell-7.3418/confirm-7.7825/,sell,sell-7.4405/confirm-7.7748/
14,1,0,97,9920,11,10987,10213,8,10989,buy,see-1.1899/unsee-4.347/buy-7.5627/confirm-8.099/,buy,see-2.3256/unsee-3.1581/buy-7.5233/confirm-8.0826/
15,1,0,102,9823,12,11047,10116,9,11034,sell,see-1.6965/unsee-2.9537/sell-7.5116/confirm-7.9226/,sell,sell-7.6227/confirm-7.9652/
16,1,0,97,9925,11,10992,10218,8,10994,no trade,see-1.5505/unsee-5.6859/confirm-9.0541/,no trade,see-1.9308/unsee-6.8505/confirm-11.784/
17,1,0,97,9925,11,10992,10218,8,10994,buy,see-1.2275/unsee-2.0311/buy-8.0588/confirm-8.9148/,no trade,see-1.5765/unsee-3.3779/see-4.0483/unsee-4.9944/see-5.9131/unsee-6.7009/confirm-10.186/
18,1,0,100,9828,12,11028,10218,8,11018,sell,see-1.3151/unsee-2.4352/sell-8.207/confirm-11.1084/,sell,see-2.1605/unsee-6.1917/sell-7.6596/confirm-7.9587/
19,1,0,95,9928,11,10973,10318,7,10983,buy,see-1.0521/unsee-6.0308/see-6.907/unsee-7.5731/buy-8.031/confirm-8.7597/,no trade,see-1.4187/unsee-2.6175/confirm-12.2257/
20,1,0,98,9833,12,11009,10318,7,11004,sell,see-2.0795/unsee-4.3567/sell-7.9206/confirm-8.7054/,no trade,see-1.1824/unsee-2.159/confirm-7.6857/
21,2,0,96,9931,11,10987,10318,7,10990,buy,see-1.1939/unsee-3.0591/buy-7.8461/confirm-8.7508/,no trade,see-0.73282/unsee-2.8927/see-7.0308/unsee-7.592/confirm-7.8538/
22,2,0,102,9835,12,11059,10318,7,11032,sell,see-2.0569/unsee-4.6709/sell-7.4684/confirm-7.8133/,sell,unsee-0.047793/see-1.2878/unsee-3.4666/sell-7.6335/confirm-7.9541/
23,2,0,97,9937,11,11004,10420,6,11002,buy,see-1.209/unsee-1.8583/buy-7.3883/confirm-7.7613/,no trade,unsee-0.047617/see-1.9755/unsee-3.1857/confirm-8.1077/
24,2,0,103,9840,12,11076,10420,6,11038,sell,see-1.7395/unsee-2.5064/sell-7.4235/confirm-7.8018/,sell,sell-7.7724/confirm-8.0791/
25,2,0,98,9943,11,11021,10523,5,11013,buy,see-1.2623/unsee-1.9566/buy-7.5163/confirm-10.5617/,buy,unsee-0.064238/see-3.3143/unsee-7.4977/buy-7.972/confirm-8.6962/
26,2,0,108,9845,12,11141,10425,6,11073,sell,see-1.2277/unsee-1.986/sell-7.4262/confirm-7.8451/,sell,see-2.8723/unsee-3.9626/sell-7.5775/confirm-8.1605/
27,2,0,103,9953,11,11086,10533,5,11048,sell,see-1.0476/unsee-2.1567/see-4.2892/unsee-5.4735/see-6.6625/unsee-7.393/buy-10.5198/sell-11.5346/sell-11.7661/confirm-11.9477/,sell,see-1.3509/unsee-3.1191/sell-7.777/confirm-8.1819/
28,2,0,98,10056,10,11036,10636,4,11028,buy,see-1.6852/unsee-2.5448/see-5.1336/unsee-5.6009/buy-7.4368/confirm-7.7767/,buy,buy-7.4656/confirm-8/
29,2,0,108,9958,11,11146,10538,5,11078,sell,see-0.97147/unsee-2.1142/sell-7.4573/confirm-7.8437/,sell,unsee-0.047555/see-0.75632/unsee-2.2303/sell-7.7048/confirm-8.0307/
30,2,0,103,10066,10,11096,10646,4,11058,sell,see-1.1011/unsee-3.1008/sell-7.3889/confirm-7.8275/,sell,sell-8.6257/confirm-9.8661/
31,2,0,98,10169,9,11051,10749,3,11043,buy,see-2.4054/unsee-3.5279/buy-7.6745/confirm-8.0665/,sell,buy-7.6284/sell-8.1293/confirm-8.5916/
32,2,0,98,10071,10,11051,10847,2,11043,buy,see-0.90689/unsee-4.3467/buy-7.4317/confirm-7.8267/,buy,see-1.4868/unsee-2.6161/buy-8.2427/confirm-9.1655/
33,2,0,108,9973,11,11161,10749,3,11073,sell,see-0.91977/unsee-1.5918/sell-7.3831/confirm-7.7422/,buy,see-1.6893/unsee-2.9491/buy-8.6146/confirm-8.9927/
34,2,0,108,10081,10,11161,10641,4,11073,sell,see-1.3505/unsee-2.2659/sell-7.3751/confirm-7.7506/,sell,see-1.2036/unsee-1.9523/sell-7.4575/confirm-8.1792/
35,2,0,103,10189,9,11116,10749,3,11058,sell,see-1.0529/unsee-2.1054/sell-7.3458/confirm-7.702/,no trade,see-1.419/unsee-2.0539/sell-9.6374/buy-10.9242/sell-11.7298/buy-12.5683/
36,2,0,100,10292,8,11092,10749,3,11049,buy,see-1.0315/unsee-3.9188/buy-7.363/confirm-7.7001/,no trade,sell-0.047435/confirm-9.3417/
37,2,0,106,10192,9,11146,10749,3,11067,sell,see-6.085/unsee-6.6304/sell-7.474/confirm-7.8114/,sell,unsee-0.04744/see-3.1532/unsee-3.8132/sell-7.4722/confirm-7.9367/
38,2,0,101,10298,8,11106,10855,2,11057,sell,see-0.88194/unsee-2.2399/sell-7.9176/confirm-8.7894/,no trade,confirm-7.7808/
39,2,0,98,10399,7,11085,10855,2,11051,buy,unsee-0.047403/see-1.2748/unsee-3.1232/see-4.22/unsee-4.7909/buy-7.8118/confirm-8.1788/,no trade,confirm-11.6347/
