trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,buy-7.5158/confirm-8.2001/,buy,buy-7.5438/confirm-8.4677/
2,1,0,105,9900,11,11055,9900,11,11055,no trade,confirm-10.9695/,sell,see-0.58622/unsee-1.6186/sell-9.0312/confirm-9.6549/
3,1,0,102,9900,11,11022,10005,10,11025,sell,buy-4.1289/buy-7.2625/sell-10.8494/confirm-12.0621/,sell,sell-1.8183/see-3.9903/sell-4.0478/unsee-4.5008/sell-7.3675/confirm-7.6991/
4,1,0,97,10002,10,10972,10107,9,10980,buy,buy-8.2959/confirm-9.6427/,buy,no trade-0.52539/see-1.1497/unsee-2.8272/buy-7.9235/confirm-8.4473/
5,1,0,102,9905,11,11027,10010,10,11030,sell,sell-7.4971/confirm-9.0867/,no trade,see-2.8314/unsee-4.0584/confirm-8.0447/
6,1,0,99,10007,10,10997,10010,10,11000,no trade,confirm-8.7976/,sell,see-0.64662/unsee-2.6992/sell-10.9319/confirm-11.6022/
7,1,0,97,10007,10,10977,10109,9,10982,buy,buy-7.7762/confirm-8.8367/,no trade,see-0.59406/unsee-4.844/confirm-7.9855/
8,1,0,100,9910,11,11010,10109,9,11009,no trade,confirm-8.4629/,buy,see-0.61265/unsee-1.709/see-4.5112/unsee-5.9884/buy-7.6696/confirm-7.9391/
9,1,0,103,9910,11,11043,10009,10,11039,sell,sell-7.4627/confirm-8.1956/,sell,unsee-0.049035/see-1.4728/unsee-2.6415/sell-7.5697/confirm-8.0311/
10,1,0,98,10013,10,10993,10112,9,10994,buy,buy-7.8248/confirm-9.45/,sell,unsee-0.047842/see-4.8412/unsee-6.3019/sell-9.1123/confirm-9.4929/
11,1,0,98,9915,11,10993,10210,8,10994,sell,sell-8.9238/confirm-12.5779/,no trade,see-0.46938/unsee-3.6829/see-5.3453/unsee-6.3391/confirm-9.0724/
12,1,0,96,10013,10,10973,10210,8,10978,no trade,sell-5.0384/confirm-8.9737/,no trade,see-4.2361/unsee-5.1995/buy-9.8246/sell-10.3469/buy-10.8629/no trade-11.3006/confirm-11.7704/
13,1,0,96,10013,10,10973,10210,8,10978,sell,buy-7.7796/sell-9.0971/confirm-10.6323/,no trade,confirm-9.5609/
14,1,0,94,10109,9,10955,10210,8,10962,no trade,sell-8.1172/,no trade,see-1.9891/unsee-2.9162/see-4.3407/unsee-5.8069/confirm-9.3318/
15,1,0,94,10109,9,10955,10210,8,10962,buy,buy-0.047781/buy-7.6628/confirm-8.5593/,buy,see-0.48362/unsee-2.0526/see-3.1097/unsee-4.2256/see-4.7777/unsee-5.2274/buy-11.4884/confirm-12.0691/
16,1,0,99,10015,10,11005,10116,9,11007,sell,sell-7.5146/confirm-8.0309/,sell,see-0.78998/unsee-1.7638/sell-8.1631/confirm-8.7521/
17,1,0,95,10114,9,10969,10215,8,10975,no trade,sell-11.2374/buy-12.899/,sell,sell-0.98287/see-1.6809/unsee-2.9109/sell-7.8414/confirm-8.1922/
18,1,0,93,10114,9,10951,10310,7,10961,buy,buy-0.047747/buy-7.7863/confirm-9.4469/,buy,unsee-0.080921/see-0.84663/unsee-1.8403/see-3.3257/unsee-6.1945/buy-7.8647/confirm-8.6943/
19,1,0,98,10021,10,11001,10217,8,11001,sell,sell-8.125/confirm-9.0309/,sell,sell-8.6444/confirm-8.96/
20,1,0,94,10119,9,10965,10315,7,10973,buy,buy-7.7449/confirm-9.5335/,no trade,see-0.53188/unsee-2.4868/no trade-8.6325/confirm-9.7137/
21,2,0,97,10025,10,10995,10315,7,10994,sell,sell-7.4988/confirm-8.1796/,sell,see-1.4911/unsee-1.9709/sell-7.8263/confirm-8.461/
22,2,0,93,10122,9,10959,10412,6,10970,sell,sell-7.5253/confirm-8.6377/,sell,sell-8.2395/confirm-8.5791/
23,2,0,89,10215,8,10927,10505,5,10950,buy,buy-2.6006/buy-7.5072/confirm-8.8239/,no trade,no trade-1.2778/see-5.3392/unsee-7.722/confirm-9.3201/
24,2,0,95,10126,9,10981,10505,5,10980,no trade,confirm-8.4117/,sell,see-2.1896/unsee-2.6642/sell-8.7924/confirm-9.8926/
25,2,0,93,10126,9,10963,10600,4,10972,sell,sell-7.601/confirm-8.3733/,sell,sell-9.5148/confirm-10.413/
26,2,0,89,10219,8,10931,10693,3,10960,buy,buy-7.6697/confirm-8.4522/,buy,sell-1.4426/see-1.8928/unsee-2.5669/see-3.1437/unsee-3.5471/see-4.4557/unsee-6.0306/buy-12.25/confirm-12.5659/
