trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,sell,sell-7.9993/confirm-10.2408/,sell,sell-7.4659/confirm-8.5233/
2,1,0,95,10100,9,10955,10100,9,10955,buy,see-1.0468/unsee-3.2514/buy-7.465/confirm-9.0328/,buy,buy-7.629/confirm-8.7687/
3,1,0,100,10005,10,11005,10005,10,11005,sell,unsee-0.032748/see-0.6402/unsee-2.5844/sell-3.2353/sell-3.7841/sell-5.0728/sell-5.8413/sell-6.8465/sell-7.4296/confirm-8.8977/,sell,sell-7.6183/confirm-8.6233/
4,1,0,95,10105,9,10960,10105,9,10960,buy,see-0.63058/unsee-1.3351/see-1.8802/unsee-2.9821/buy-7.4825/buy-7.8887/confirm-8.6807/,buy,buy-7.9821/confirm-9.3046/
5,1,0,100,10010,10,11010,10010,10,11010,sell,sell-1.7913/sell-7.7737/confirm-10.6917/,no trade,confirm-7.9882/
6,1,0,97,10110,9,10983,10010,10,10980,sell,see-4.398/unsee-5.2451/buy-5.4396/buy-8.7786/sell-10.0346/confirm-10.8132/,no trade,confirm-11.2762/
7,1,0,95,10207,8,10967,10010,10,10960,buy,buy-6.1417/buy-7.6284/confirm-8.9327/,buy,buy-7.9372/confirm-9.1094/
8,1,0,100,10112,9,11012,9915,11,11015,sell,sell-7.3698/confirm-8.1816/,sell,sell-7.7558/confirm-8.7855/
9,1,0,95,10212,8,10972,10015,10,10965,buy,see-6.4228/unsee-9.4757/buy-9.7674/buy-10.0326/confirm-10.5046/,no trade,confirm-8.4734/
10,1,0,98,10117,9,10999,10015,10,10995,sell,see-1.4772/unsee-3.5112/sell-4.1561/sell-4.7201/sell-5.1127/sell-5.4947/sell-5.8895/sell-6.5075/sell-7.452/confirm-7.9825/,sell,sell-7.8823/confirm-9.1417/
11,1,0,94,10215,8,10967,10113,9,10959,buy,unsee-0.032721/buy-9.9936/confirm-10.9354/,buy,buy-8.6159/confirm-9.8099/
12,1,0,99,10121,9,11012,10019,10,11009,sell,sell-3.5029/sell-7.4296/confirm-7.9708/,sell,sell-7.6697/confirm-8.377/
13,1,0,95,10220,8,10980,10118,9,10973,no trade,see-6.0833/unsee-8.3243/confirm-8.9885/,buy,buy-7.8481/confirm-10.8128/
14,1,0,98,10220,8,11004,10023,10,11003,sell,see-0.90312/unsee-2.6319/sell-4.9123/sell-7.3816/confirm-8.3185/,buy,buy-8.0918/confirm-8.7618/
15,1,0,98,10318,7,11004,9925,11,11003,sell,see-1.4262/unsee-4.3303/sell-6.505/sell-7.4177/confirm-8.4527/,buy,buy-8.4782/confirm-9.5167/
16,1,0,98,10416,6,11004,9827,12,11003,sell,sell-4.808/sell-7.4595/see-9.1194/unsee-10.042/confirm-10.6644/,sell,sell-7.6105/confirm-8.6297/
17,1,0,94,10514,5,10984,9925,11,10959,buy,buy-1.7531/buy-3.6057/buy-4.8442/buy-5.338/buy-6.1282/buy-6.8875/buy-7.4342/buy-7.7339/buy-8.0324/buy-8.3626/confirm-8.9884/,sell,sell-8.5318/confirm-9.2966/
18,1,0,94,10420,6,10984,10019,10,10959,buy,buy-7.5061/see-8.5208/unsee-10.0328/confirm-10.3755/,sell,sell-7.6375/confirm-8.3475/
19,1,0,94,10326,7,10984,10113,9,10959,no trade,sell-0.032686/sell-0.65909/see-2.6323/unsee-7.5123/confirm-8.0324/,sell,sell-7.7055/confirm-8.665/
20,1,0,92,10326,7,10970,10207,8,10943,buy,buy-7.5297/confirm-8.5898/,sell,buy-7.5974/sell-10.0308/sell-10.2762/confirm-10.8849/
21,2,0,92,10234,8,10970,10299,7,10943,sell,sell-1.5257/sell-7.8906/confirm-8.5922/,buy,buy-9.0847/confirm-9.7077/
22,2,0,92,10326,7,10970,10207,8,10943,buy,see-1.3823/unsee-3.2845/buy-8.0654/confirm-8.6285/,buy,buy-7.5727/confirm-8.1158/
23,2,0,102,10234,8,11050,10115,9,11033,sell,sell-7.4639/confirm-8.0572/,sell,sell-7.6136/confirm-8.3973/
24,2,0,97,10336,7,11015,10217,8,10993,sell,sell-7.3838/confirm-7.9197/,sell,sell-7.5259/confirm-8.1783/
25,2,0,93,10433,6,10991,10314,7,10965,no trade,confirm-12.6562/,buy,buy-9.2077/confirm-10.2848/
26,2,0,99,10433,6,11027,10221,8,11013,sell,see-3.9169/unsee-7.2716/sell-8.1114/confirm-8.972/,sell,sell-7.5796/confirm-8.2981/
27,2,0,95,10532,5,11007,10320,7,10985,no trade,confirm-8.101/,no trade,confirm-9.6469/
28,2,0,95,10532,5,11007,10320,7,10985,sell,sell-9.4908/confirm-10.403/,no trade,confirm-8.2416/
29,2,0,93,10627,4,10999,10320,7,10971,buy,buy-7.7244/confirm-8.4809/,buy,buy-7.6292/confirm-8.3747/
30,2,0,103,10534,5,11049,10227,8,11051,sell,see-4.0329/unsee-6.6226/sell-7.5927/confirm-8.567/,sell,sell-7.6561/confirm-9.3285/
31,2,0,98,10637,4,11029,10330,7,11016,sell,sell-7.5367/confirm-7.9876/,sell,buy-10.0731/sell-11.1212/confirm-12.0583/
32,2,0,94,10735,3,11017,10428,6,10992,no trade,confirm-8.184/,buy,buy-7.625/confirm-8.4882/
33,2,0,100,10735,3,11035,10334,7,11034,sell,sell-2.7356/sell-7.4215/confirm-8.0375/,no trade,sell-10.9779/buy-11.8416/sell-12.6047/sell-12.8064/
34,2,0,97,10835,2,11029,10334,7,11013,sell,sell-7.5261/confirm-8.1301/,no trade,confirm-0.047263/buy-9.2515/
35,2,0,95,10932,1,11027,10334,7,10999,no trade,unsee-0.032658/see-0.57585/unsee-6.8467/confirm-8.0807/,buy,buy-7.7036/confirm-8.2874/
36,2,0,101,10932,1,11033,10239,8,11047,sell,sell-7.627/confirm-8.8796/,sell,sell-7.6578/confirm-8.6189/
37,2,0,96,11033,0,11033,10340,7,11012,no trade,unsee-0.032663/see-0.5832/unsee-4.4019/confirm-7.9884/,buy,buy-11.8075/confirm-12.3565/
38,2,0,102,11033,0,11033,10244,8,11060,no trade,confirm-7.9985/,sell,sell-8.0796/confirm-9.0933/
39,2,0,99,11033,0,11033,10346,7,11039,no trade,see-0.55797/unsee-7.7579/see-8.6642/unsee-9.8332/confirm-11.3009/,no trade,sell-11.5083/
40,2,0,99,11033,0,11033,10346,7,11039,no trade,see-1.0493/unsee-5.2475/see-6.0452/unsee-8.8339/confirm-9.626/,no trade,confirm-8.172/
41,2,0,99,11033,0,11033,10346,7,11039,no trade,buy-9.1193/sell-10.9702/sell-11.8556/sell-12.1551/sell-12.3811/sell-12.5602/sell-12.7672/sell-12.9492/,sell,sell-10.0304/confirm-10.6978/
42,2,0,97,11033,0,11033,10445,6,11027,no trade,sell-0.032616/see-7.282/unsee-9.766/,no trade,sell-9.461/
43,2,0,97,11033,0,11033,10445,6,11027,no trade,see-2.0446/unsee-4.1004/confirm-10.0905/,sell,sell-8.9107/confirm-9.7577/
44,2,0,95,11033,0,11033,10542,5,11017,buy,see-2.992/unsee-4.326/buy-9.6681/confirm-10.8643/,buy,buy-7.4807/confirm-8.1935/
45,2,0,105,10938,1,11043,10447,6,11077,sell,sell-4.4078/sell-5.3085/sell-5.6407/sell-5.9261/sell-6.1978/sell-6.4724/sell-6.733/sell-7.0329/sell-7.3335/confirm-8.4571/,sell,sell-7.6504/confirm-8.664/
