trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,buy-8.5413/confirm-9.225/,sell,sell-7.5094/confirm-8.4404/
2,1,0,100,9900,11,11000,10100,9,11000,buy,buy-7.6397/confirm-9.4289/,buy,see-2.2327/unsee-3.1636/see-4.7542/unsee-4.9581/buy-7.6357/confirm-9.473/
3,1,0,105,9800,12,11060,10000,10,11050,buy,sell-7.6522/buy-9.3146/buy-9.5643/confirm-10.446/,sell,see-5.0913/unsee-5.6917/sell-8.3935/confirm-10.9655/
4,1,0,105,9695,13,11060,10105,9,11050,sell,see-3.0315/unsee-3.7922/sell-11.6759/confirm-12.3165/,sell,see-2.0315/unsee-4.2161/see-5.9583/unsee-6.4939/sell-7.6666/confirm-8.0391/
5,1,0,100,9800,12,11000,10210,8,11010,sell,see-3.4119/unsee-3.7993/buy-7.7412/sell-8.4555/confirm-9.2164/,no trade,see-2.7395/unsee-3.5938/confirm-7.6117/
6,1,0,97,9900,11,10967,10210,8,10986,buy,buy-0.048219/see-0.67051/unsee-2.0321/see-2.539/unsee-3.479/see-5.1613/unsee-5.5891/buy-7.4642/confirm-8.5045/,no trade,see-5.0656/unsee-8.3063/
7,1,0,100,9803,12,11003,10210,8,11010,sell,sell-8.9925/confirm-10.0414/,sell,see-1.6839/unsee-3.3235/sell-7.9081/confirm-8.8142/
8,1,0,95,9903,11,10948,10310,7,10975,buy,buy-8.0312/confirm-9.8552/,sell,unsee-0.048054/see-2.0313/unsee-3.2444/see-7.2537/unsee-8.4049/sell-8.7387/confirm-10.3398/
9,1,0,95,9808,12,10948,10405,6,10975,sell,see-5.1156/unsee-5.9376/sell-7.447/confirm-8.0313/,no trade,see-3.9543/unsee-5.0377/confirm-8.2611/
10,1,0,93,9903,11,10926,10405,6,10963,sell,see-5.6072/unsee-6.4646/sell-7.757/confirm-9.2451/,sell,see-2.4108/unsee-2.9805/see-8.1655/unsee-8.7407/sell-9.0439/confirm-10.1336/
11,1,0,89,9996,10,10886,10498,5,10943,no trade,confirm-0.048128/see-5.2584/unsee-5.9419/confirm-8.0673/,sell,see-4.5606/unsee-5.257/sell-10.3048/confirm-10.6087/
12,1,0,87,9996,10,10866,10587,4,10935,buy,buy-7.8637/confirm-8.5645/,sell,see-1.9005/unsee-3.145/sell-9.5281/confirm-10.1452/
13,1,0,87,9909,11,10866,10674,3,10935,sell,sell-0.048131/see-1.0314/unsee-2.224/see-6.8554/unsee-7.2806/sell-7.5622/confirm-8.266/,sell,see-3.3088/unsee-4.0619/sell-7.6729/confirm-8.3917/
14,1,0,83,9996,10,10826,10761,2,10927,sell,sell-1.6032/sell-2.4537/see-2.7084/unsee-2.9273/see-3.3236/unsee-3.9275/see-6.4132/unsee-6.7889/sell-7.6764/buy-9.6755/no trade-10.537/sell-10.8804/confirm-11.5069/,sell,see-5.8983/unsee-7.8149/sell-9.9024/confirm-11.5727/
