trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,sell,sell-8.2264/confirm-8.814/,sell,sell-7.7763/confirm-8.1148/
2,1,0,95,10100,9,10955,10100,9,10955,sell,see-0.70156/unsee-1.5062/sell-2.5204/sell-6.3823/sell-7.0327/confirm-8.0737/,buy,confirm-0.048356/buy-7.3992/confirm-9.1906/
3,1,0,95,10195,8,10955,10005,10,10955,sell,see-0.57574/unsee-2.0598/see-3.58/unsee-4.0765/sell-7.6024/confirm-8.3409/,no trade,confirm-7.6534/
4,1,0,93,10290,7,10941,10005,10,10935,sell,see-0.47219/unsee-1.5874/sell-7.5065/confirm-10.9865/,buy,buy-8.5043/confirm-9.6467/
5,1,0,93,10383,6,10941,9912,11,10935,no trade,see-1.3612/unsee-3.922/sell-8.0518/,no trade,no trade-7.9087/confirm-8.7608/
6,1,0,93,10383,6,10941,9912,11,10935,sell,see-0.54035/unsee-1.5742/sell-6.7492/sell-7.3924/confirm-8.3703/,buy,buy-7.4465/confirm-8.0671/
7,1,0,93,10476,5,10941,9819,12,10935,sell,see-1.2382/unsee-2.4649/sell-11.2323/confirm-11.6757/,no trade,confirm-7.7904/
8,1,0,91,10569,4,10933,9819,12,10911,sell,see-0.59013/unsee-2.8605/sell-8.0329/confirm-9.9752/,no trade,sell-8.3587/buy-9.3308/sell-9.8682/no trade-10.9488/confirm-12.6943/
9,1,0,89,10660,3,10927,9819,12,10887,no trade,see-0.99056/unsee-3.1878/confirm-8.1423/,sell,sell-7.435/confirm-8.0339/
10,1,0,87,10660,3,10921,9908,11,10865,no trade,see-1.8348/unsee-2.6589/confirm-9.7814/,sell,sell-7.3988/confirm-7.8841/
11,1,0,85,10660,3,10915,9995,10,10845,sell,sell-7.8363/confirm-8.2874/,sell,sell-7.4198/confirm-7.8427/
12,1,0,81,10745,2,10907,10080,9,10809,sell,unsee-0.032756/see-0.539/unsee-1.629/sell-10.6249/confirm-10.9396/,sell,sell-8.5363/confirm-11.2891/
13,1,0,77,10826,1,10903,10161,8,10777,sell,sell-11.612/confirm-12.1285/,sell,sell-7.4356/confirm-7.8119/
14,1,0,74,10903,0,10903,10238,7,10756,no trade,unsee-0.032789/see-0.62408/unsee-3.5065/confirm-7.7609/,sell,sell-7.3589/confirm-7.7058/
15,1,0,72,10903,0,10903,10312,6,10744,no trade,see-2.6652/unsee-3.6685/confirm-8.5785/,sell,sell-7.3566/confirm-7.7224/
16,1,0,70,10903,0,10903,10384,5,10734,no trade,see-6.5671/unsee-7.2653/confirm-7.6345/,sell,sell-7.5186/confirm-7.9086/
