trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,sell,see-1.53/unsee-1.8971/sell-7.6606/confirm-9.568/,no trade,buy-7.7086/
2,1,0,97,10100,9,10973,10000,10,10970,buy,unsee-0.032854/see-0.51255/unsee-1.3952/buy-7.8166/confirm-12.0795/,no trade,buy-0.04858/buy-12.8022/
3,1,0,100,10003,10,11003,10000,10,11000,sell,sell-7.5469/confirm-8.3524/,sell,sell-7.4264/confirm-8.0436/
4,1,0,95,10103,9,10958,10100,9,10955,buy,unsee-0.032796/see-0.3569/unsee-1.2961/buy-7.6098/confirm-8.4419/,sell,sell-7.3982/confirm-8.2362/
5,1,0,95,10008,10,10958,10195,8,10955,no trade,see-0.47863/unsee-1.3922/see-2.234/unsee-3.9/see-4.4197/unsee-5.6071/sell-8.1444/buy-8.7076/see-9.7306/unsee-9.8006/no trade-10.5061/confirm-11.0905/,no trade,confirm-8.2119/
6,1,0,95,10008,10,10958,10195,8,10955,no trade,see-9.2731/unsee-10.7572/confirm-11.7904/,buy,confirm-0.064693/buy-7.43/confirm-11.135/
7,1,0,98,10008,10,10988,10100,9,10982,sell,see-7.5978/unsee-8.1868/sell-9.1148/confirm-10.9847/,buy,buy-7.5658/confirm-11.4066/
8,1,0,98,10106,9,10988,10002,10,10982,no trade,sell-7.6923/buy-10.2326/no trade-11.4605/,buy,buy-7.4373/confirm-11.1229/
9,1,0,101,10106,9,11015,9904,11,11015,sell,see-4.5641/unsee-5.3993/sell-7.9449/confirm-8.8426/,sell,sell-7.451/buy-9.8424/sell-10.7841/sell-11.1852/buy-11.7829/sell-12.1652/confirm-12.806/
10,1,0,96,10207,8,10975,10005,10,10965,no trade,confirm-8.0332/,buy,buy-7.4053/sell-8.2027/buy-8.626/no trade-9.3083/buy-11.299/confirm-11.7597/
11,1,0,99,10207,8,10999,9909,11,10998,sell,unsee-0.032799/sell-7.5239/confirm-8.1334/,buy,buy-8.4212/confirm-10.2744/
12,1,0,99,10306,7,10999,9810,12,10998,no trade,see-0.65368/unsee-3.5361/see-4.0501/unsee-7.6904/sell-8.7849/buy-10.6529/no trade-11.8996/confirm-12.5818/,sell,sell-7.3844/buy-8.7522/sell-10.2646/confirm-10.8508/
13,1,0,97,10306,7,10985,9909,11,10976,no trade,confirm-7.9367/,sell,sell-10.0312/confirm-11.6537/
14,1,0,95,10306,7,10971,10006,10,10956,no trade,unsee-0.032791/see-0.4814/unsee-1.6748/see-2.0328/unsee-2.6419/see-3.0448/unsee-4.6994/confirm-7.9088/,buy,buy-5.268/buy-7.5095/confirm-8.5244/
15,1,0,98,10306,7,10992,9911,11,10989,sell,sell-0.58313/see-3.5936/unsee-5.9249/sell-7.3226/confirm-7.749/,sell,sell-10.3365/confirm-11.1052/
16,1,0,94,10404,6,10968,10009,10,10949,no trade,see-11.0334/unsee-12.7671/,buy,buy-8.2391/confirm-10.2012/
17,1,0,97,10404,6,10986,9915,11,10982,sell,confirm-0.032799/see-1.9362/unsee-4.3375/see-4.8545/unsee-5.6227/see-6.0478/unsee-6.4811/see-6.7127/unsee-6.8789/sell-7.4781/confirm-8.0407/,buy,buy-8.5102/confirm-10.3354/
18,1,0,97,10501,5,10986,9818,12,10982,no trade,see-0.43656/unsee-1.5208/see-1.9707/unsee-2.2526/see-2.792/unsee-2.9885/see-3.5277/unsee-5.3082/confirm-7.698/,sell,sell-7.7479/confirm-10.0543/
19,1,0,95,10501,5,10976,9915,11,10960,no trade,see-1.4583/unsee-2.8613/see-4.0589/unsee-6.1917/confirm-8.8341/,no trade,confirm-8.5803/
20,1,0,95,10501,5,10976,9915,11,10960,no trade,unsee-0.032868/see-0.51177/unsee-2.5326/see-4.0327/unsee-6.0429/see-7.2211/unsee-7.4616/sell-7.8566/buy-11.235/no trade-12.0407/,buy,buy-7.4026/confirm-10.0337/
21,2,0,98,10501,5,10991,9820,12,10996,sell,see-7.2652/unsee-7.8544/sell-8.3434/confirm-9.2057/,no trade,confirm-7.6844/
22,2,0,96,10599,4,10983,9820,12,10972,no trade,unsee-0.032769/no trade-1.2529/see-1.5798/unsee-3.1423/see-3.5423/unsee-6.033/see-6.3997/unsee-7.6321/confirm-9.7908/,buy,buy-7.4241/confirm-9.7141/
23,2,0,102,10599,4,11007,9724,13,11050,sell,see-0.91019/unsee-2.0642/see-2.4615/unsee-4.0378/sell-7.706/confirm-8.6201/,sell,sell-10.7041/confirm-11.5117/
24,2,0,97,10701,3,10992,9826,12,10990,no trade,see-1.5562/unsee-2.3437/see-2.8634/unsee-3.4581/see-3.836/unsee-4.3551/see-4.872/unsee-7.4718/confirm-8.033/,sell,sell-7.4641/confirm-11.3982/
25,2,0,95,10701,3,10986,9923,11,10968,no trade,see-0.57513/unsee-2.6971/confirm-10.8641/,sell,sell-8.0607/confirm-11.3151/
26,2,0,93,10701,3,10980,10018,10,10948,buy,see-3.2182/unsee-5.9247/see-6.7082/unsee-7.3702/buy-7.6757/confirm-8.3696/,sell,sell-7.4084/confirm-10.3866/
27,2,0,93,10608,4,10980,10111,9,10948,buy,see-0.58262/unsee-1.7643/see-2.4116/unsee-3.4621/see-4.0872/unsee-6.5024/buy-11.4155/confirm-11.921/,buy,buy-7.3847/confirm-8.7223/
28,2,0,103,10515,5,11030,10018,10,11048,sell,sell-6.4908/see-6.8014/unsee-7.0943/sell-7.5163/confirm-8.1389/,no trade,sell-7.78/buy-11.1746/sell-12.7358/
