trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,sell,sell-8.7542/confirm-9.8849/,no trade,confirm-9.4113/
2,1,0,97,10100,9,10973,10000,10,10970,no trade,sell-7.7451/buy-10.51/sell-11.4218/buy-11.8682/sell-12.3028/,sell,sell-7.8753/buy-10.4367/sell-10.9831/sell-11.2457/confirm-11.6455/
3,1,0,95,10100,9,10955,10097,9,10952,sell,no trade-0.064825/sell-9.109/confirm-11.5398/,buy,see-5.2596/unsee-6.9995/buy-7.6985/confirm-8.5124/
4,1,0,95,10195,8,10955,10002,10,10952,no trade,,no trade,unsee-0.032224/see-0.30254/unsee-1.9393/confirm-10.5856/
5,1,0,95,10195,8,10955,10002,10,10952,no trade,,buy,see-0.32707/unsee-2.171/buy-7.5061/confirm-12.5276/
6,1,0,98,10195,8,10979,9907,11,10985,sell,sell-7.8904/confirm-11.845/,buy,buy-7.7254/confirm-9.1608/
7,1,0,98,10293,7,10979,9809,12,10985,no trade,,no trade,see-4.7557/unsee-6.2936/confirm-12.787/
8,1,0,98,10293,7,10979,9809,12,10985,no trade,,sell,see-1.242/unsee-2.6656/sell-8.0784/confirm-11.2442/
9,1,0,96,10293,7,10965,9907,11,10963,buy,unsee-0.048608/see-3.6458/unsee-3.7737/see-4.1473/unsee-6.7335/see-7.4187/unsee-7.5466/buy-8.0428/confirm-9.6892/,no trade,see-8.1943/unsee-8.7598/buy-9.7821/sell-11.0574/buy-11.8243/sell-12.4884/
10,1,0,99,10197,8,10989,9907,11,10996,sell,unsee-0.048252/sell-9.2209/confirm-10.8201/,sell,sell-7.6794/confirm-9.2089/
11,1,0,95,10296,7,10961,10006,10,10956,buy,buy-7.8289/confirm-9.3803/,no trade,buy-8.963/
12,1,0,98,10201,8,10985,10006,10,10986,sell,unsee-0.048032/sell-7.6185/confirm-10.1488/,no trade,confirm-0.047928/see-6.6793/unsee-7.4381/confirm-8.5602/
13,1,0,96,10299,7,10971,10006,10,10966,no trade,confirm-9.6578/,sell,see-5.4098/unsee-5.8275/sell-7.5253/confirm-9.1681/
14,1,0,94,10299,7,10957,10102,9,10948,buy,see-2.2713/unsee-2.667/see-2.7757/unsee-3.9652/see-7.1531/unsee-7.433/buy-8.0489/confirm-10.3532/,no trade,see-8.3453/unsee-9.3535/sell-12.0311/
15,1,0,97,10205,8,10981,10102,9,10975,sell,sell-8.1413/confirm-9.3233/,no trade,buy-7.5382/sell-8.9287/buy-10.7992/
16,1,0,95,10302,7,10967,10102,9,10957,no trade,unsee-0.04789/see-0.89204/unsee-2.5883/see-3.3106/unsee-3.5231/buy-8.1061/sell-12.5746/,sell,confirm-0.047841/see-0.34293/unsee-2.428/sell-7.6208/buy-11.2698/sell-11.926/sell-12.18/confirm-12.4761/
17,1,0,93,10302,7,10953,10197,8,10941,buy,see-2.4355/unsee-2.907/buy-7.8187/confirm-9.4064/,buy,buy-7.3729/confirm-7.8613/
18,1,0,98,10209,8,10993,10104,9,10986,sell,see-2.7019/unsee-2.9874/see-3.4448/unsee-5.238/sell-8.2497/confirm-9.3419/,buy,unsee-0.047804/buy-7.557/confirm-11.4101/
19,1,0,98,10307,7,10993,10006,10,10986,sell,sell-8.2397/confirm-9.7749/,sell,buy-7.8318/sell-11.0308/confirm-11.4729/
