trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,sell,sell-5.5271/sell-7.9069/confirm-9.1452/,buy,buy-7.6756/confirm-8.1616/
2,1,0,100,10100,9,11000,9900,11,11000,no trade,no trade-12.1126/confirm-12.7493/,buy,buy-7.4896/confirm-7.9981/
3,1,0,103,10100,9,11027,9800,12,11036,buy,buy-10.4327/confirm-11.54/,buy,buy-8.5323/confirm-8.8238/
4,1,0,109,9997,10,11087,9697,13,11114,sell,sell-7.8001/confirm-8.1668/,buy,buy-8.8877/confirm-9.4912/
5,1,0,109,10106,9,11087,9588,14,11114,no trade,confirm-11.1612/,buy,buy-9.9236/confirm-10.3222/
6,1,0,113,10106,9,11123,9479,15,11174,sell,sell-7.5008/confirm-11.1258/,sell,sell-10.0932/confirm-10.8799/
7,1,0,108,10219,8,11083,9592,14,11104,no trade,no trade-10.8753/confirm-11.4278/,buy,buy-7.6943/confirm-11.8268/
8,1,0,112,10219,8,11115,9484,15,11164,no trade,confirm-11.2183/,buy,buy-8.0382/confirm-8.4419/
9,1,0,116,10219,8,11147,9372,16,11228,sell,sell-8.2572/confirm-9.0328/,buy,buy-7.9762/confirm-8.6096/
10,1,0,116,10335,7,11147,9256,17,11228,sell,sell-8.1687/confirm-8.9853/,sell,sell-7.4298/confirm-8.2165/
11,1,0,111,10451,6,11117,9372,16,11148,no trade,no trade-12.059/confirm-12.6193/,no trade,confirm-11.8883/
12,1,0,111,10451,6,11117,9372,16,11148,buy,buy-9.961/confirm-10.7986/,no trade,confirm-8.7666/
13,1,0,115,10340,7,11145,9372,16,11212,sell,sell-7.8352/confirm-8.8694/,sell,buy-7.8369/buy-9.234/sell-9.654/sell-9.8834/confirm-10.582/
14,1,0,110,10455,6,11115,9487,15,11137,sell,sell-9.8101/confirm-10.5934/,sell,sell-8.2194/confirm-11.0552/
15,1,0,105,10565,5,11090,9597,14,11067,no trade,no trade-8.0333/confirm-8.3566/,no trade,confirm-12.8935/
16,1,0,105,10565,5,11090,9597,14,11067,no trade,confirm-11.9543/,no trade,confirm-12.524/
17,1,0,105,10565,5,11090,9597,14,11067,no trade,confirm-9.7443/,sell,sell-7.4256/confirm-8.0729/
18,1,0,102,10565,5,11075,9702,13,11028,no trade,confirm-12.3758/,no trade,confirm-10.4178/
19,1,0,102,10565,5,11075,9702,13,11028,no trade,confirm-11.7018/,no trade,confirm-10.1059/
20,1,0,102,10565,5,11075,9702,13,11028,no trade,confirm-12.0328/,buy,buy-9.3435/confirm-9.9552/
21,2,0,106,10565,5,11095,9600,14,11084,sell,sell-11.2489/confirm-11.9566/,buy,buy-7.6917/confirm-8.3306/
22,2,0,106,10671,4,11095,9494,15,11084,buy,buy-10.1452/confirm-11.4267/,sell,sell-7.3802/confirm-8.4263/
23,2,0,106,10565,5,11095,9600,14,11084,sell,sell-10.6984/confirm-11.3765/,sell,sell-7.9486/confirm-8.4378/
24,2,0,101,10671,4,11075,9706,13,11019,buy,buy-8.639/confirm-10.7811/,sell,sell-7.4964/confirm-8.1107/
25,2,0,101,10570,5,11075,9807,12,11019,no trade,no trade-7.8031/confirm-9.0326/,sell,sell-7.595/confirm-8.0571/
26,2,0,98,10570,5,11060,9908,11,10986,no trade,see-4.5094/unsee-4.6755/see-5.2775/unsee-6.1804/confirm-11.8626/,sell,sell-7.7767/confirm-8.1789/
27,2,0,96,10570,5,11050,10006,10,10966,sell,unsee-0.032673/sell-11.2257/confirm-11.9525/,no trade,sell-11.2365/
28,2,0,94,10666,4,11042,10006,10,10946,no trade,see-9.3118/unsee-9.4839/see-9.9578/unsee-10.4411/confirm-11.4971/,no trade,confirm-0.047618/confirm-7.8838/
29,2,0,94,10666,4,11042,10006,10,10946,no trade,see-3.2295/unsee-3.3873/see-3.8097/unsee-4.1249/confirm-11.1367/,no trade,confirm-7.4982/
30,2,0,94,10666,4,11042,10006,10,10946,sell,see-1.8296/unsee-2.8023/sell-10.1275/buy-10.9937/sell-11.6613/confirm-12.5654/,sell,sell-10.28/confirm-10.6241/
31,2,0,90,10760,3,11030,10100,9,10910,buy,see-1.4612/unsee-4.8282/buy-10.2911/confirm-11.2797/,sell,sell-7.82/confirm-8.1992/
