trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,buy-5.8126/buy-10.8238/confirm-12.9397/,no trade,buy-12.2957/
2,1,0,103,9900,11,11033,10000,10,11030,sell,sell-6.0987/sell-9.2086/buy-10.3333/sell-11.2919/confirm-12.8504/,sell,sell-7.8115/confirm-8.5284/
3,1,0,98,10003,10,10983,10103,9,10985,sell,sell-8.1716/confirm-10.1894/,buy,buy-7.2316/confirm-8.0313/
4,1,0,98,10101,9,10983,10005,10,10985,sell,sell-8.4714/confirm-10.251/,buy,buy-7.9713/confirm-8.4539/
5,1,0,98,10199,8,10983,9907,11,10985,buy,buy-9.2286/confirm-10.9823/,buy,see-1.3928/unsee-1.5107/see-1.8105/unsee-1.881/see-2.9921/unsee-3.1322/see-3.6437/unsee-5.1566/see-5.6925/unsee-6.8384/buy-10.4166/confirm-11.469/
6,1,0,103,10101,9,11028,9809,12,11045,buy,buy-9.2454/confirm-11.2632/,no trade,unsee-0.047803/see-0.74261/unsee-3.4135/see-4.2499/unsee-4.9437/no trade-11.5954/confirm-12.0313/
7,1,0,107,9998,10,11068,9809,12,11093,buy,buy-9.7555/confirm-12.2872/,no trade,see-2.1179/unsee-3.3656/see-3.9712/unsee-4.4145/sell-11.7715/buy-12.6702/no trade-12.9778/
8,1,0,111,9891,11,11112,9809,12,11141,no trade,confirm-11.4538/,sell,see-2.2766/unsee-3.3432/sell-7.9824/confirm-8.7401/
9,1,0,108,9891,11,11079,9920,11,11108,buy,buy-9.1404/confirm-11.8818/,buy,buy-7.4862/confirm-7.8758/
10,1,0,114,9783,12,11151,9812,12,11180,buy,buy-8.1398/confirm-10.1977/,sell,unsee-0.047746/see-0.54457/unsee-3.0544/see-3.6494/unsee-4.9392/sell-10.1565/confirm-10.7273/
11,1,0,114,9669,13,11151,9926,11,11180,sell,sell-7.622/confirm-8.9569/,sell,see-2.3889/unsee-3.3652/sell-7.6957/confirm-8.0436/
12,1,0,109,9783,12,11091,10040,10,11130,no trade,confirm-9.7178/,buy,sell-9.4986/buy-10.6862/sell-11.3761/buy-11.8266/confirm-12.9062/
13,1,0,113,9783,12,11139,9931,11,11174,no trade,confirm-9.2287/,sell,see-7.8795/unsee-8.531/sell-9.1708/confirm-10.036/
14,1,0,110,9783,12,11103,10044,10,11144,sell,no trade-8.2187/sell-9.8296/confirm-10.7673/,no trade,confirm-10.6374/
15,1,0,107,9893,11,11070,10044,10,11114,sell,sell-8.0471/confirm-9.72/,no trade,unsee-0.047723/see-0.62161/unsee-2.7473/see-3.331/unsee-4.2224/see-7.419/unsee-8.4347/
16,1,0,104,10000,10,11040,10044,10,11084,sell,sell-7.8017/confirm-8.6564/,no trade,see-1.7847/unsee-2.6539/buy-9.0309/sell-10.8026/buy-11.9651/sell-12.6326/
17,1,0,101,10104,9,11013,10044,10,11054,sell,sell-7.8888/confirm-8.9387/,no trade,buy-0.04778/see-1.6489/unsee-2.4954/see-4.2292/unsee-4.8129/buy-11.3658/sell-12.8171/
18,1,0,98,10205,8,10989,10044,10,11024,sell,sell-8.2459/confirm-9.2102/,buy,unsee-0.047818/see-0.36427/unsee-1.8628/buy-7.557/confirm-7.9714/
19,1,0,98,10303,7,10989,9946,11,11024,buy,buy-7.6137/confirm-8.6205/,sell,see-0.62406/unsee-1.5041/see-4.933/unsee-5.5054/sell-7.6713/confirm-12.6542/
20,1,0,98,10205,8,10989,10044,10,11024,sell,sell-7.5917/confirm-9.5807/,no trade,see-1.6754/unsee-2.6939/see-6.46/unsee-7.3742/buy-10.276/sell-10.7291/
21,2,0,96,10303,7,10975,10044,10,11004,sell,sell-8.6667/confirm-9.9495/,sell,buy-0.048465/see-2.0586/unsee-3.1505/buy-7.6798/sell-12.2042/confirm-12.8689/
22,2,0,92,10399,6,10951,10140,9,10968,buy,buy-10.8567/confirm-11.4702/,buy,unsee-0.047798/buy-7.6552/confirm-11.0746/
23,2,0,102,10307,7,11021,10048,10,11068,buy,buy-9.941/confirm-10.7468/,sell,see-1.4215/unsee-2.2989/see-3.6011/unsee-5.4865/see-6.1655/unsee-6.927/sell-8.041/confirm-8.5711/
24,2,0,102,10205,8,11021,10150,9,11068,sell,sell-9.0602/confirm-10.1936/,sell,unsee-0.04779/see-0.47741/unsee-1.1884/see-1.8587/unsee-2.3183/see-2.9948/unsee-3.3766/sell-7.698/confirm-8.0308/
25,2,0,97,10307,7,10986,10252,8,11028,buy,buy-10.0952/confirm-11.5011/,no trade,see-5.3176/unsee-6.3782/
26,2,0,103,10210,8,11034,10252,8,11076,buy,buy-7.7774/confirm-9.7/,sell,confirm-4.2258/see-5.184/unsee-6.1457/sell-7.6498/confirm-7.9761/
27,2,0,103,10107,9,11034,10355,7,11076,buy,buy-8.0506/confirm-9.9704/,sell,see-2.3854/unsee-3.5878/see-5.8772/unsee-6.3537/sell-7.7229/confirm-8.0825/
28,2,0,103,10004,10,11034,10458,6,11076,no trade,confirm-8.572/,sell,unsee-0.047728/see-0.38614/unsee-1.4273/see-6.7198/unsee-7.1322/sell-7.63/confirm-8.1788/
29,2,0,100,10004,10,11004,10561,5,11061,sell,sell-8.6897/confirm-10.4088/,no trade,unsee-0.047741/see-0.69658/unsee-4.8412/see-5.2059/unsee-5.9703/see-6.3798/unsee-7.582/sell-8.7323/buy-10.2143/sell-10.9095/buy-11.5773/sell-12.4758/
30,2,0,97,10104,9,10977,10561,5,11046,sell,sell-8.3813/confirm-9.2535/,buy,see-0.88923/unsee-2.5689/see-2.9502/unsee-3.5421/see-4.1707/unsee-4.597/buy-9.1082/confirm-10.3694/
31,2,0,97,10201,8,10977,10464,6,11046,sell,sell-10.0354/confirm-10.962/,no trade,unsee-0.064216/see-4.6772/unsee-5.3488/confirm-10.8535/
32,2,0,95,10298,7,10963,10464,6,11034,buy,buy-2.5711/buy-7.498/confirm-8.6826/,no trade,see-2.2131/unsee-2.9405/confirm-10.0306/
