trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,no trade,no trade-8.6904/no trade-8.9341/confirm-12.035/,sell,confirm-0.063407/sell-7.402/sell-7.6745/confirm-8.066/
2,1,0,97,10000,10,10970,10100,9,10973,buy,buy-7.8429/confirm-9.8559/,buy,unsee-0.047958/see-0.3386/unsee-2.595/buy-7.4801/confirm-7.8921/
3,1,0,102,9903,11,11025,10003,10,11023,sell,sell-10.6533/confirm-11.3705/,buy,see-0.40334/unsee-6.9053/buy-7.5987/confirm-8.0312/
4,1,0,102,10005,10,11025,9901,11,11023,sell,sell-7.4904/confirm-10.8184/,buy,see-0.76465/unsee-1.9534/buy-2.1046/buy-2.3412/buy-7.4235/confirm-7.6568/
5,1,0,102,10107,9,11025,9799,12,11023,sell,sell-7.5399/confirm-8.5652/,buy,see-0.81607/unsee-2.7135/buy-7.3878/confirm-7.7287/
6,1,0,102,10209,8,11025,9697,13,11023,sell,sell-9.0308/confirm-12.2458/,buy,see-0.44803/unsee-5.2914/buy-7.4814/confirm-7.6981/
7,1,0,102,10311,7,11025,9595,14,11023,no trade,confirm-11.4782/,buy,see-0.39508/unsee-4.8636/buy-7.4745/confirm-8.1731/
8,1,0,106,10311,7,11053,9493,15,11083,sell,sell-7.5768/confirm-10.4902/,buy,unsee-0.048028/see-0.32258/unsee-4.1695/buy-7.5861/confirm-8.0323/
9,1,0,106,10417,6,11053,9387,16,11083,sell,sell-7.8532/confirm-11.4763/,buy,see-0.53656/unsee-7.5843/buy-8.031/confirm-9.7819/
10,1,0,106,10523,5,11053,9281,17,11083,no trade,confirm-11.8024/,buy,see-0.4454/unsee-8.1769/buy-9.098/confirm-11.9911/
11,1,0,110,10523,5,11073,9175,18,11155,buy,buy-7.7033/confirm-12.0668/,sell,see-0.38198/unsee-7.3081/sell-7.9847/confirm-8.8916/
12,1,0,110,10413,6,11073,9285,17,11155,sell,sell-9.0311/confirm-11.6474/,buy,see-0.29941/unsee-7.2906/buy-7.5374/confirm-7.8558/
13,1,0,110,10523,5,11073,9175,18,11155,sell,sell-7.7508/confirm-11.5754/,buy,see-0.047988/unsee-7.3312/buy-7.5585/confirm-8.3308/
14,1,0,110,10633,4,11073,9065,19,11155,sell,sell-7.6886/confirm-11.112/,buy,see-1.3724/unsee-7.3352/buy-7.5962/confirm-7.9675/
15,1,0,110,10743,3,11073,8955,20,11155,buy,buy-7.704/confirm-11.549/,buy,see-0.36269/unsee-7.6535/buy-7.8443/confirm-8.1987/
16,1,0,116,10633,4,11097,8845,21,11281,sell,sell-7.6604/confirm-10.7951/,buy,see-1.13/unsee-7.587/buy-7.8872/confirm-10.1451/
17,1,0,116,10749,3,11097,8729,22,11281,no trade,no trade-8.6535/confirm-11.449/,buy,see-0.24007/unsee-7.5249/buy-7.8165/confirm-8.2344/
18,1,0,120,10749,3,11109,8613,23,11373,sell,sell-8.1339/confirm-11.0691/,buy,see-0.047766/unsee-7.4304/buy-7.5734/confirm-7.7708/
19,1,0,120,10869,2,11109,8493,24,11373,no trade,confirm-11.535/,buy,see-0.3302/unsee-7.4427/buy-7.7654/sell-8.1314/sell-8.3318/buy-10.1218/buy-10.3363/confirm-10.8194/
20,1,0,124,10869,2,11117,8373,25,11473,buy,buy-7.6543/confirm-10.7049/,no trade,see-0.14323/unsee-7.306/buy-8.4737/sell-9.3346/buy-9.8842/no trade-10.4998/confirm-10.8923/
21,2,0,128,10745,3,11129,8373,25,11573,sell,sell-7.7234/confirm-11.1914/,sell,see-0.047769/unsee-7.2708/sell-7.4279/confirm-7.7516/
22,2,0,122,10873,2,11117,8501,24,11429,buy,buy-8.69/confirm-11.7882/,sell,see-0.047628/unsee-7.1345/sell-7.634/confirm-7.9855/
23,2,0,122,10751,3,11117,8623,23,11429,sell,sell-7.5364/confirm-11.972/,buy,see-0.047731/unsee-7.2679/buy-8.4439/sell-9.2774/buy-9.822/no trade-10.2565/buy-11.678/confirm-12.0981/
