trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,no trade,,sell,sell-8.1333/confirm-9.187/
2,1,0,97,10000,10,10970,10100,9,10973,no trade,see-10.3031/unsee-11.0334/,buy,buy-8.3534/confirm-9.5391/
3,1,0,100,10000,10,11000,10003,10,11003,sell,see-0.35735/unsee-1.0534/sell-8.1145/confirm-9.0682/,sell,sell-7.7622/confirm-9.7172/
4,1,0,95,10100,9,10955,10103,9,10958,buy,buy-7.5684/confirm-9.3329/,buy,buy-10.7665/confirm-11.2328/
5,1,0,100,10005,10,11005,10008,10,11008,sell,see-4.708/unsee-4.8421/see-5.4732/unsee-6.4506/sell-9.1329/confirm-9.8523/,sell,sell-7.775/confirm-9.031/
6,1,0,95,10105,9,10960,10108,9,10963,sell,sell-7.7241/confirm-9.3154/,no trade,see-0.43849/unsee-7.0712/confirm-10.895/
7,1,0,93,10200,8,10944,10108,9,10945,sell,see-2.8529/unsee-4.6191/sell-8.5016/confirm-9.2861/,sell,see-2.3643/unsee-6.6723/sell-8.7719/confirm-10.5345/
8,1,0,89,10293,7,10916,10201,8,10913,sell,see-5.2397/unsee-6.0315/sell-7.6379/confirm-8.2991/,no trade,see-0.45712/unsee-2.9308/confirm-10.574/
9,1,0,87,10382,6,10904,10201,8,10897,sell,sell-7.7067/confirm-9.845/,sell,see-0.6024/unsee-5.4014/sell-9.2454/confirm-11.217/
10,1,0,83,10469,5,10884,10288,7,10869,sell,see-0.5229/unsee-1.8155/sell-7.4146/confirm-8.1813/,no trade,sell-8.241/buy-11.3118/sell-11.9763/see-12.2334/unsee-12.3179/no trade-12.4833/confirm-12.7706/
11,1,0,81,10552,4,10876,10288,7,10855,sell,see-7.4577/unsee-7.4983/sell-7.8615/see-8.4141/unsee-9.0312/confirm-11.0312/,sell,see-3.4319/unsee-5.5837/sell-8.1914/confirm-8.8058/
12,1,0,77,10633,3,10864,10369,6,10831,sell,see-4.791/unsee-5.4212/sell-7.5874/confirm-8.2173/,sell,see-2.2745/unsee-3.5208/sell-7.8162/confirm-8.3977/
13,1,0,74,10710,2,10858,10446,5,10816,sell,sell-7.5019/confirm-8.0425/,sell,see-2.6406/unsee-4.4171/sell-7.5379/confirm-8.7293/
14,1,0,71,10784,1,10855,10520,4,10804,sell,sell-7.5167/confirm-9.1465/,sell,see-1.5661/unsee-2.9509/see-6.6966/unsee-7.3813/sell-8.2198/see-9.2058/confirm-9.7283/unsee-9.7299/unsee-13.0313/
15,1,0,68,10855,0,10855,10591,3,10795,no trade,see-5.4314/unsee-6.4517/sell-7.4236/buy-8.2026/sell-8.56/sell-9.2412/buy-9.6101/no trade-9.9037/confirm-10.8666/,sell,unsee-0.04754/see-2.2729/unsee-6.9614/sell-7.6792/confirm-8.3872/
16,1,0,66,10855,0,10855,10659,2,10791,no trade,see-5.2979/unsee-6.3298/,sell,see-1.1851/unsee-4.5395/sell-6.83/sell-7.6187/confirm-8.5432/
17,1,0,65,10855,0,10855,10725,1,10790,no trade,see-0.51452/unsee-1.2743/,sell,see-1.993/unsee-4.7205/sell-8.0879/confirm-8.857/
18,1,0,64,10855,0,10855,10790,0,10790,no trade,see-0.73114/unsee-1.6511/see-5.7044/unsee-6.0556/,buy,see-3.7485/unsee-5.6744/buy-7.8892/confirm-8.88/
19,1,0,66,10855,0,10855,10726,1,10792,no trade,see-5.6695/unsee-6.2452/see-6.8892/unsee-7.2462/see-7.3329/unsee-7.3764/,sell,see-2.2958/unsee-4.5412/sell-7.5016/confirm-11.4782/
20,1,0,65,10855,0,10855,10792,0,10792,no trade,see-0.72133/unsee-1.7789/see-3.6574/unsee-4.391/,no trade,see-0.55466/unsee-7.2889/buy-9.5965/sell-11.7635/no trade-12.3156/confirm-12.9002/
21,2,0,65,10855,0,10855,10792,0,10792,no trade,,buy,see-0.6825/unsee-1.5646/buy-7.5174/confirm-8.0306/
22,2,0,69,10855,0,10855,10727,1,10796,no trade,see-0.35325/unsee-4.0673/see-11.3334/unsee-11.7895/,buy,see-1.0349/unsee-7.3856/buy-7.688/confirm-8.6215/
23,2,0,74,10855,0,10855,10658,2,10806,buy,see-2.7321/unsee-2.8548/see-3.5421/unsee-4.0312/buy-4.2381/buy-8.2286/confirm-11.1936/,buy,unsee-0.047487/see-0.98277/unsee-7.3729/buy-7.6446/confirm-8.287/
24,2,0,82,10781,1,10863,10584,3,10830,sell,sell-7.6828/confirm-8.7071/,sell,see-1.4892/unsee-7.3661/buy-7.7357/sell-8.7851/sell-9.0379/confirm-9.9324/
25,2,0,78,10863,0,10863,10666,2,10822,no trade,see-1.2229/unsee-2.3895/see-3.6554/unsee-4.9737/see-5.4012/unsee-8.3349/see-9.2983/unsee-10.124/see-10.2318/unsee-10.3009/see-12.5853/unsee-12.8488/,buy,see-0.85457/unsee-5.0306/sell-7.9792/buy-9.7839/confirm-12.4827/
26,2,0,83,10863,0,10863,10588,3,10837,no trade,see-0.5083/unsee-4.306/see-7.6151/unsee-10.5545/see-12.778/unsee-13.0011/,buy,see-1.0644/unsee-3.6225/buy-7.1191/confirm-8.6767/
27,2,0,88,10863,0,10863,10505,4,10857,buy,unsee-0.047732/see-0.35471/unsee-0.97661/see-3.5989/unsee-7.5112/buy-7.9157/confirm-9.0375/,buy,see-1.1515/unsee-3.3769/buy-7.4932/confirm-8.0531/
28,2,0,97,10775,1,10872,10417,5,10902,sell,sell-7.7001/confirm-8.4392/,sell,see-1.12/unsee-6.9205/sell-7.568/confirm-8.4246/
29,2,0,93,10872,0,10872,10514,4,10886,buy,unsee-0.047626/see-1.8445/unsee-3.3498/buy-7.4604/confirm-7.9873/,buy,see-0.43965/unsee-1.4831/buy-7.5646/confirm-8.0505/
