trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,see-6.0326/unsee-6.5493/buy-8.0322/confirm-9.8573/,sell,sell-2.0556/sell-7.5747/confirm-8.4498/
2,1,0,100,9900,11,11000,10100,9,11000,buy,confirm-0.032845/see-0.57815/unsee-1.7887/buy-8.7086/confirm-11.7823/,sell,sell-7.5565/confirm-8.5158/
3,1,0,100,9800,12,11000,10200,8,11000,sell,unsee-0.033066/see-0.79833/unsee-3.3849/sell-7.0907/buy-8.1693/sell-8.6923/confirm-9.0782/,sell,sell-7.3927/confirm-8.2537/
4,1,0,95,9900,11,10945,10300,7,10965,no trade,see-0.62898/unsee-1.8593/confirm-12.621/,sell,sell-7.3929/confirm-8.3143/
5,1,0,93,9900,11,10923,10395,6,10953,no trade,see-0.32126/unsee-1.4199/no trade-9.277/no trade-10.8728/confirm-11.0844/,sell,sell-7.5229/confirm-8.3406/
6,1,0,91,9900,11,10901,10488,5,10943,no trade,see-0.38381/unsee-1.0347/no trade-7.8132/no trade-8.7011/no trade-11.1146/confirm-11.416/,buy,buy-7.5666/confirm-8.6211/
7,1,0,94,9900,11,10934,10397,6,10961,buy,see-2.9302/unsee-4.1297/buy-7.6964/confirm-8.8744/,sell,sell-7.6019/confirm-9.498/
8,1,0,94,9806,12,10934,10491,5,10961,buy,see-0.70179/unsee-6.5901/buy-8.931/confirm-12.3945/,sell,sell-7.3906/confirm-8.3518/
9,1,0,94,9712,13,10934,10585,4,10961,buy,see-0.67376/unsee-5.1075/buy-7.6315/confirm-10.88/,buy,buy-8.6513/confirm-11.3142/
10,1,0,99,9618,14,11004,10491,5,10986,buy,see-0.51753/unsee-2.033/sell-8.4217/buy-10.5678/buy-10.8153/sell-11.6158/buy-12.0515/confirm-12.6964/,sell,sell-7.6583/confirm-8.4204/
11,1,0,99,9519,15,11004,10590,4,10986,sell,see-1.3853/unsee-3.2617/sell-7.6792/confirm-10.203/,sell,sell-4.7529/sell-7.3835/confirm-8.8393/
12,1,0,95,9618,14,10948,10689,3,10974,no trade,see-1.3779/unsee-3.0332/see-3.8673/unsee-6.124/no trade-7.7421/no trade-9.2266/confirm-11.8073/,no trade,confirm-12.4/
13,1,0,95,9618,14,10948,10689,3,10974,buy,see-0.6129/unsee-1.9046/see-2.7634/unsee-3.3586/buy-8.991/confirm-12.2826/,sell,sell-11.4767/confirm-12.8063/
14,1,0,95,9523,15,10948,10784,2,10974,no trade,see-0.54498/unsee-6.3101/no trade-8.8261/confirm-9.6668/,no trade,confirm-10.1347/
15,1,0,95,9523,15,10948,10784,2,10974,no trade,see-1.0327/unsee-2.5179/see-2.7012/unsee-8.2226/no trade-10.8941/confirm-11.3534/,no trade,confirm-10.9366/
16,1,0,95,9523,15,10948,10784,2,10974,no trade,see-0.91072/unsee-3.7494/see-12.2593/unsee-12.6324/buy-12.9591/,sell,sell-8.3612/confirm-9.8089/
17,1,0,93,9523,15,10918,10879,1,10972,buy,confirm-0.032842/see-0.68721/unsee-2.9973/buy-9.5636/confirm-10.7256/,no trade,confirm-7.9323/
18,1,0,96,9430,16,10966,10879,1,10975,no trade,see-0.55558/unsee-2.692/no trade-9.3116/confirm-12.6059/,buy,buy-8.3818/confirm-9.1815/
19,1,0,99,9430,16,11014,10783,2,10981,sell,see-0.70468/unsee-2.3488/sell-8.0757/confirm-8.3827/,sell,sell-8.9397/confirm-9.7729/
20,1,0,95,9529,15,10954,10882,1,10977,sell,see-2.0991/unsee-3.3487/sell-8.9669/confirm-9.3123/,buy,buy-7.4615/confirm-8.5452/
21,2,0,95,9624,14,10954,10787,2,10977,no trade,see-0.59691/unsee-2.9464/see-8.3308/unsee-9.5888/no trade-12.549/confirm-12.9863/,no trade,confirm-8.2045/
22,2,0,95,9624,14,10954,10787,2,10977,no trade,see-0.71443/unsee-2.2214/see-10.5605/unsee-11.2757/sell-12.9156/,no trade,confirm-7.7605/
