trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,buy-7.5631/confirm-8.3947/,no trade,confirm-8.7213/
2,1,0,103,9900,11,11033,10000,10,11030,no trade,confirm-12.9223/,buy,buy-7.4796/confirm-8.7187/
3,1,0,107,9900,11,11077,9897,11,11074,no trade,confirm-8.3301/,buy,see-1.0754/unsee-2.3394/buy-7.8361/confirm-8.3878/
4,1,0,111,9900,11,11121,9790,12,11122,no trade,confirm-8.3204/,sell,sell-7.7202/confirm-8.1202/
5,1,0,108,9900,11,11088,9901,11,11089,sell,sell-7.5887/buy-8.0452/sell-8.3866/confirm-8.8842/,no trade,confirm-2.2125/see-3.0807/unsee-7.3321/
6,1,0,105,10008,10,11058,9901,11,11056,sell,sell-7.4892/confirm-8.034/,sell,sell-7.569/confirm-7.8424/
7,1,0,100,10113,9,11013,10006,10,11006,no trade,confirm-7.525/,sell,see-4.7541/unsee-7.6506/sell-9.0391/confirm-9.7171/
8,1,0,97,10113,9,10986,10106,9,10979,no trade,confirm-7.4484/,sell,see-4.069/unsee-6.5498/sell-8.6261/confirm-10.4506/
9,1,0,95,10113,9,10968,10203,8,10963,buy,buy-7.5348/confirm-8.1195/,buy,see-4.1701/unsee-7.1763/buy-7.5633/confirm-8.0654/
10,1,0,100,10018,10,11018,10108,9,11008,no trade,confirm-7.8583/,no trade,see-1.7406/unsee-5.8961/confirm-7.9971/
11,1,0,100,10018,10,11018,10108,9,11008,no trade,confirm-7.8277/,buy,see-0.45596/unsee-7.206/buy-7.5456/confirm-8.179/
12,1,0,103,10018,10,11048,10008,10,11038,no trade,confirm-8.6778/,sell,see-1.6352/unsee-2.3064/sell-3.0693/sell-7.5792/confirm-7.9929/
13,1,0,100,10018,10,11018,10111,9,11011,no trade,confirm-8.031/,sell,unsee-0.047627/see-0.62207/unsee-2.9447/sell-7.507/confirm-7.7339/
14,1,0,97,10018,10,10988,10211,8,10987,no trade,confirm-8.4205/,sell,see-0.62803/unsee-2.1265/see-5.0308/unsee-5.5036/sell-7.6642/confirm-9.5925/
15,1,0,95,10018,10,10968,10308,7,10973,buy,buy-9.3531/confirm-10.0775/,no trade,see-4.155/unsee-6.9239/confirm-8.1214/
16,1,0,98,9923,11,11001,10308,7,10994,buy,buy-7.6294/confirm-8.2676/,sell,buy-0.047702/see-3.6843/unsee-5.2419/sell-9.5237/confirm-10.3804/
17,1,0,98,9825,12,11001,10406,6,10994,buy,buy-7.5728/confirm-8.2528/,buy,unsee-0.03274/see-0.4982/unsee-4.614/buy-7.6975/confirm-8.2187/
18,1,0,103,9727,13,11066,10308,7,11029,sell,sell-7.6324/confirm-8.2704/,no trade,see-5.7215/unsee-7.3242/sell-11.3617/buy-12.4443/buy-12.6828/
19,1,0,100,9830,12,11030,10308,7,11008,no trade,confirm-7.6982/,buy,confirm-0.03252/see-0.75345/unsee-3.1779/buy-3.4864/buy-7.9478/confirm-8.2628/
20,1,0,103,9830,12,11066,10208,8,11032,sell,sell-7.7214/confirm-8.2645/,buy,see-1.3061/unsee-3.6969/see-3.8371/unsee-3.9299/see-4.0648/unsee-5.0308/buy-5.6467/buy-7.6306/confirm-8.3497/
21,2,0,103,9933,11,11066,10105,9,11032,sell,sell-7.4867/confirm-7.9983/,buy,see-1.8402/unsee-3.9906/buy-5.2559/buy-7.4627/confirm-8.1351/
22,2,0,103,10036,10,11066,10002,10,11032,sell,sell-8.808/confirm-9.3275/,buy,see-3.8818/unsee-4.4572/buy-7.4309/confirm-8.2156/
23,2,0,103,10139,9,11066,9899,11,11032,sell,sell-7.8744/confirm-8.4646/,sell,see-1.8081/unsee-7.7591/sell-8.149/confirm-8.7411/
24,2,0,98,10242,8,11026,10002,10,10982,buy,buy-7.4023/confirm-8.0741/,no trade,see-2.039/unsee-2.8824/confirm-7.5813/
25,2,0,104,10144,9,11080,10002,10,11042,sell,sell-7.6545/confirm-8.2084/,sell,see-2.1389/unsee-3.4225/sell-7.4067/see-7.8651/unsee-7.9108/sell-8.6146/confirm-9.4493/
26,2,0,99,10248,8,11040,10106,9,10997,buy,buy-7.5089/confirm-8.161/,sell,unsee-0.064404/see-0.66214/unsee-4.1707/sell-7.5458/see-8.1143/unsee-8.2015/confirm-9.9573/
27,2,0,99,10149,9,11040,10205,8,10997,buy,buy-7.5965/confirm-8.1926/,sell,see-2.7441/unsee-7.4022/sell-7.6433/confirm-8.9615/
28,2,0,99,10050,10,11040,10304,7,10997,buy,buy-7.5778/confirm-8.1626/,buy,see-6.0308/unsee-7.1731/buy-8.4549/see-9.3999/unsee-9.5124/confirm-10.4602/
29,2,0,109,9951,11,11150,10205,8,11077,sell,sell-7.6861/confirm-8.2544/,sell,see-1.941/unsee-4.6845/sell-5.1668/sell-7.5081/confirm-8.1889/
30,2,0,104,10060,10,11100,10314,7,11042,sell,sell-7.3943/confirm-7.9237/,no trade,see-0.95911/unsee-7.2372/sell-8.1744/
31,2,0,101,10164,9,11073,10314,7,11021,sell,sell-7.542/confirm-8.1495/,sell,sell-0.047566/sell-8.0307/confirm-9.2496/
32,2,0,96,10265,8,11033,10415,6,10991,no trade,confirm-8.3515/,sell,sell-8.3782/confirm-9.0338/
33,2,0,94,10265,8,11017,10511,5,10981,no trade,confirm-8.0904/,buy,see-1.6469/unsee-3.1621/buy-8.3049/see-8.8899/unsee-8.9465/confirm-9.9302/
34,2,0,100,10265,8,11065,10417,6,11017,no trade,confirm-7.7858/,buy,see-2.2766/unsee-4.6278/buy-7.8176/confirm-9.2294/
35,2,0,106,10265,8,11113,10317,7,11059,sell,sell-7.5148/confirm-8.335/,sell,see-1.7605/unsee-3.699/sell-7.6465/confirm-8.4178/
36,2,0,101,10371,7,11078,10423,6,11029,sell,sell-7.3445/confirm-7.862/,sell,see-0.61645/unsee-1.6829/sell-8.77/confirm-9.4832/
37,2,0,96,10472,6,11048,10524,5,11004,buy,unsee-0.047605/see-3.5811/unsee-3.7518/see-4.1946/unsee-6.8873/buy-7.5705/confirm-8.8476/,sell,see-1.5609/unsee-2.1472/sell-11.2098/confirm-11.9669/
38,2,0,96,10376,7,11048,10620,4,11004,buy,unsee-0.047415/see-1.7354/unsee-4.3443/buy-7.6101/confirm-8.755/,no trade,see-2.1942/unsee-2.5093/confirm-8.8415/
