trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,buy-2.2764/see-3.2681/unsee-3.7124/buy-4.7267/buy-7.5086/confirm-8.8373/,sell,sell-7.4483/confirm-7.8104/
2,1,0,100,9900,11,11000,10100,9,11000,buy,see-0.61848/unsee-0.69264/see-0.74314/unsee-2.392/see-3.031/unsee-3.5286/buy-8.0425/confirm-9.2066/,sell,sell-7.3657/confirm-7.7055/
3,1,0,100,9800,12,11000,10200,8,11000,buy,unsee-0.047731/see-0.6791/unsee-1.2523/see-7.14/unsee-7.4943/buy-10.8741/confirm-11.8203/,sell,buy-1.7009/sell-7.5124/confirm-7.8441/
4,1,0,100,9700,13,11000,10300,7,11000,buy,see-0.80855/unsee-2.2883/see-5.5415/unsee-5.9214/buy-8.829/confirm-9.7391/,sell,sell-7.5667/confirm-7.9312/
5,1,0,100,9600,14,11000,10400,6,11000,buy,see-0.64362/unsee-1.3857/buy-8.1604/confirm-9.1625/,buy,buy-7.3455/confirm-7.7596/
6,1,0,105,9500,15,11075,10300,7,11035,buy,see-1.6337/unsee-2.5394/buy-6.8534/buy-7.6944/confirm-8.4953/,buy,unsee-0.047897/buy-1.1634/buy-7.4558/confirm-7.7929/
7,1,0,111,9395,16,11171,10195,8,11083,sell,unsee-0.047794/see-1.0376/unsee-1.9692/see-5.6103/unsee-5.9194/see-6.4612/unsee-6.8577/buy-9.7293/sell-11.3415/confirm-11.793/,buy,buy-7.4325/confirm-7.8136/
8,1,0,111,9506,15,11171,10084,9,11083,sell,see-1.6308/unsee-3.8939/see-5.0741/unsee-6.1408/see-7.1757/unsee-8.3887/sell-9.2607/confirm-9.9033/,sell,sell-7.3265/confirm-7.8561/
9,1,0,106,9617,14,11101,10195,8,11043,buy,see-1/unsee-6.2844/see-7.1739/unsee-7.7124/buy-9.3548/confirm-12.7897/,sell,sell-7.3801/confirm-7.7309/
10,1,0,106,9511,15,11101,10301,7,11043,sell,see-0.39872/unsee-6.5412/buy-10.0308/sell-10.6865/confirm-11.1356/,no trade,confirm-7.647/
11,1,0,103,9617,14,11059,10301,7,11022,buy,see-0.62937/unsee-10.8202/buy-11.2621/confirm-11.7395/,sell,unsee-0.066059/sell-7.3447/confirm-7.8332/
12,1,0,103,9514,15,11059,10404,6,11022,buy,see-0.90185/unsee-10.249/buy-11.5234/confirm-11.8102/,sell,sell-7.3785/confirm-7.7842/
13,1,0,103,9411,16,11059,10507,5,11022,sell,see-1.8268/unsee-7.4063/see-8.2901/unsee-8.952/sell-10.2833/confirm-11.6433/,sell,sell-7.7498/confirm-8.2104/
14,1,0,98,9514,15,10984,10610,4,11002,buy,see-3.7323/unsee-4.6465/see-7.093/unsee-7.5515/buy-9.4986/confirm-11.2465/,buy,buy-7.4894/confirm-8.0308/
15,1,0,103,9416,16,11064,10512,5,11027,sell,see-2.7996/unsee-5.7424/sell-9.7257/confirm-10.5124/,buy,buy-8.3927/confirm-8.8503/
16,1,0,103,9519,15,11064,10409,6,11027,sell,sell-7.5846/confirm-8.8827/,sell,sell-7.4669/confirm-7.8646/
17,1,0,98,9622,14,10994,10512,5,11002,sell,see-6.6622/unsee-9.8288/see-10.4388/unsee-10.9744/buy-11.5331/sell-12.2258/confirm-12.9042/,sell,sell-8.3558/confirm-8.7478/
18,1,0,94,9720,13,10942,10610,4,10986,sell,see-1.9373/unsee-4.1142/see-5.5852/unsee-6.8096/sell-7.4396/confirm-9.1317/,sell,sell-8.112/confirm-9.5596/
19,1,0,90,9814,12,10894,10704,3,10974,sell,unsee-0.064209/see-1.624/unsee-5.7695/sell-10.7279/confirm-11.3113/,buy,buy-7.7144/confirm-8.2771/
20,1,0,90,9904,11,10894,10614,4,10974,no trade,see-2.0603/unsee-5.9732/sell-6.9429/confirm-9.4002/,buy,buy-7.7802/confirm-8.483/
21,2,0,93,9904,11,10927,10524,5,10989,sell,unsee-0.047612/see-2.6387/unsee-4.4226/sell-7.6447/confirm-11.7475/,buy,buy-7.7697/confirm-8.5823/
22,2,0,93,9997,10,10927,10431,6,10989,sell,see-2.4545/unsee-5.7906/see-6.1869/unsee-7.0381/sell-10.725/confirm-12.0305/,sell,sell-7.3556/confirm-7.7368/
23,2,0,89,10090,9,10891,10524,5,10969,sell,see-1.8005/unsee-2.8986/see-7.1386/unsee-7.723/sell-7.9738/sell-8.8179/confirm-10.4011/,sell,sell-7.3808/confirm-7.839/
24,2,0,85,10179,8,10859,10613,4,10953,buy,see-5.2586/unsee-6.6437/see-7.4218/unsee-7.6544/sell-8.0309/buy-9.8806/confirm-10.5143/,sell,sell-7.3376/confirm-7.7792/
