trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,buy,buy-7.6694/confirm-8.1071/,buy,buy-7.8237/confirm-8.7076/
2,1,0,105,9900,11,11055,9900,11,11055,sell,confirm-0.032867/sell-7.588/confirm-7.9852/,buy,buy-8.6181/sell-9.1118/buy-10.0805/confirm-11.9984/
3,1,0,105,10005,10,11055,9795,12,11055,no trade,unsee-0.032849/see-0.49444/unsee-0.79558/confirm-7.7071/,no trade,confirm-11.6557/
4,1,0,105,10005,10,11055,9795,12,11055,sell,see-0.58064/unsee-0.89566/sell-7.9495/confirm-8.3896/,sell,sell-8.0525/confirm-9.3354/
5,1,0,100,10110,9,11010,9900,11,11000,no trade,see-1.9052/unsee-2.278/confirm-7.4989/,sell,sell-10.3227/confirm-11.8692/
6,1,0,97,10110,9,10983,10000,10,10970,buy,see-2.2478/unsee-2.4745/buy-8.7008/confirm-9.3454/,sell,sell-9.538/confirm-12.6774/
7,1,0,97,10013,10,10983,10097,9,10970,no trade,see-0.46384/unsee-0.88896/see-1.3055/unsee-2.2889/confirm-7.7995/,buy,buy-11.7375/confirm-12.388/
8,1,0,100,10013,10,11013,10000,10,11000,sell,see-0.39518/unsee-1.0335/sell-7.7964/confirm-8.0327/,sell,sell-9.4035/confirm-10.1493/
9,1,0,95,10113,9,10968,10100,9,10955,buy,see-0.91536/unsee-1.5044/buy-7.6324/confirm-8.0326/,no trade,sell-12.8842/
10,1,0,98,10018,10,10998,10100,9,10982,buy,see-7.1891/unsee-7.4157/sell-9.5747/buy-11.5272/confirm-11.7715/,buy,confirm-0.048334/buy-7.7563/confirm-11.5936/
11,1,0,103,9920,11,11053,10002,10,11032,sell,sell-7.5296/confirm-8.079/,sell,sell-7.5315/confirm-8.3633/
12,1,0,98,10023,10,11003,10105,9,10987,buy,buy-7.7529/confirm-8.2942/,no trade,confirm-9.5648/
13,1,0,101,9925,11,11036,10105,9,11014,sell,see-5.1774/unsee-5.495/sell-7.5508/confirm-9.5595/,sell,sell-7.6545/confirm-8.7827/
14,1,0,96,10026,10,10986,10206,8,10974,buy,buy-8.1369/confirm-8.5015/,buy,buy-7.744/confirm-8.5412/
15,1,0,101,9930,11,11041,10110,9,11019,sell,sell-7.546/confirm-8.0523/,sell,sell-8.2569/confirm-12.7889/
16,1,0,96,10031,10,10991,10211,8,10979,no trade,see-0.31472/unsee-0.88431/confirm-7.665/,buy,confirm-0.048142/buy-7.5494/confirm-8.4668/
17,1,0,99,10031,10,11021,10115,9,11006,no trade,confirm-7.5542/,buy,buy-7.6209/confirm-12.8706/
18,1,0,102,10031,10,11051,10016,10,11036,sell,sell-7.694/confirm-8.1102/,no trade,confirm-8.9718/
19,1,0,99,10133,9,11024,10016,10,11006,no trade,confirm-7.8163/,buy,sell-7.8043/buy-9.0339/buy-9.2746/confirm-10.7476/
20,1,0,102,10133,9,11051,9917,11,11039,sell,sell-7.6798/confirm-7.9052/,sell,sell-7.5516/confirm-8.1451/
21,2,0,97,10235,8,11011,10019,10,10989,no trade,confirm-8.2062/,sell,sell-9.9036/confirm-12.607/
22,2,0,95,10235,8,10995,10116,9,10971,no trade,confirm-7.4654/,buy,buy-5.4871/buy-7.4548/confirm-9.8726/
23,2,0,101,10235,8,11043,10021,10,11031,sell,see-1.7224/unsee-2.0344/see-2.5546/unsee-3.2052/sell-8.0992/confirm-8.5504/,no trade,buy-9.7383/sell-11.8829/
24,2,0,98,10336,7,11022,10021,10,11001,no trade,confirm-7.6524/,buy,confirm-0.048096/buy-8.7576/confirm-11.8873/
25,2,0,104,10336,7,11064,9923,11,11067,sell,sell-7.4015/confirm-8.5415/,sell,sell-7.7201/confirm-8.7015/
26,2,0,99,10440,6,11034,10027,10,11017,no trade,see-4.9691/unsee-5.2701/see-5.7006/unsee-6.3708/confirm-7.5404/,sell,sell-7.7484/confirm-9.1762/
27,2,0,97,10440,6,11022,10126,9,10999,no trade,see-0.97721/unsee-1.4518/buy-7.8142/sell-8.3021/buy-8.9719/sell-9.5498/see-9.9803/unsee-10.1712/no trade-10.6917/confirm-11.4322/,no trade,sell-8.0483/buy-10.9988/
28,2,0,97,10440,6,11022,10126,9,10999,no trade,see-3.1019/unsee-3.282/see-3.6496/unsee-3.9234/no trade-4.4381/confirm-7.9416/,sell,confirm-0.048076/sell-8.1331/confirm-8.7297/
29,2,0,95,10440,6,11010,10223,8,10983,no trade,confirm-9.5221/,buy,buy-7.5245/confirm-8.2703/
30,2,0,101,10440,6,11046,10128,9,11037,sell,see-2.3778/unsee-2.7476/see-3.2515/unsee-3.7453/see-4.2411/unsee-5.0735/sell-7.8692/confirm-9.3767/,sell,sell-7.9488/confirm-8.4797/
31,2,0,96,10541,5,11021,10229,8,10997,buy,see-6.2207/unsee-6.395/buy-7.9499/confirm-9.5475/,buy,buy-10.4696/confirm-12.3827/
32,2,0,106,10445,6,11081,10133,9,11087,sell,sell-7.6661/confirm-8.0932/,sell,sell-7.6284/confirm-8.6482/
33,2,0,101,10551,5,11056,10239,8,11047,no trade,confirm-7.3141/,no trade,sell-11.1373/
34,2,0,101,10551,5,11056,10239,8,11047,no trade,see-6.1085/unsee-6.4785/confirm-7.3956/,no trade,confirm-0.047947/confirm-7.9/
35,2,0,101,10551,5,11056,10239,8,11047,no trade,see-2.7638/unsee-3.2301/confirm-7.4738/,no trade,sell-8.6588/buy-10.2303/sell-12.3305/
36,2,0,101,10551,5,11056,10239,8,11047,no trade,see-2.1394/unsee-2.3829/confirm-7.6583/,sell,confirm-0.064545/sell-8.6229/confirm-9.9272/
37,2,0,98,10551,5,11041,10340,7,11026,buy,see-1.7992/unsee-2.9474/buy-7.7803/confirm-8.2341/,no trade,buy-11.6165/
38,2,0,104,10453,6,11077,10340,7,11068,sell,see-1.4518/unsee-1.8051/sell-7.536/confirm-7.9276/,sell,confirm-0.047857/sell-7.5516/confirm-8.1561/
39,2,0,99,10557,5,11052,10444,6,11038,no trade,see-3.2361/unsee-4.1385/see-4.7087/unsee-5.2945/confirm-7.4645/,no trade,buy-7.8861/sell-8.3912/buy-9.1452/sell-9.8807/buy-10.3579/no trade-11.3701/confirm-12.7343/
40,2,0,99,10557,5,11052,10444,6,11038,no trade,see-0.65523/unsee-1.0528/confirm-7.3083/,buy,sell-7.67/buy-8.59/confirm-9.5306/
41,2,0,105,10557,5,11082,10345,7,11080,sell,see-1.4092/unsee-1.8069/sell-7.9159/confirm-8.231/,sell,sell-7.4721/confirm-8.2636/
42,2,0,100,10662,4,11062,10450,6,11050,no trade,see-2.9711/unsee-3.2502/confirm-7.5074/,sell,sell-7.6743/confirm-10.9741/
43,2,0,97,10662,4,11050,10550,5,11035,no trade,see-3.8721/unsee-4.5115/confirm-7.3568/,no trade,no trade-6.3795/no trade-7.5847/confirm-12.3554/
44,2,0,97,10662,4,11050,10550,5,11035,no trade,see-1.5292/unsee-2.0735/confirm-7.4006/,no trade,confirm-12.207/
45,2,0,97,10662,4,11050,10550,5,11035,no trade,see-0.98936/unsee-1.7767/confirm-7.9933/,buy,buy-8.9492/confirm-9.8525/
46,2,0,103,10662,4,11074,10453,6,11071,sell,see-0.67327/unsee-0.99649/buy-7.6801/sell-8.0343/sell-8.2329/confirm-9.8514/,buy,buy-9.4707/confirm-10.458/
47,2,0,103,10765,3,11074,10350,7,11071,sell,see-2.3774/unsee-2.7858/sell-11.8026/confirm-12.6982/,sell,sell-9.5303/confirm-9.8708/
48,2,0,98,10868,2,11064,10453,6,11041,no trade,buy-8.5741/sell-9.2557/buy-10.1433/sell-10.7488/buy-11.5138/see-11.917/unsee-12.0997/no trade-12.5219/,no trade,confirm-12.13/
49,2,0,98,10868,2,11064,10453,6,11041,no trade,confirm-0.032637/see-2.2783/unsee-2.5631/confirm-7.5362/,sell,sell-7.7797/confirm-9.1711/
50,2,0,96,10868,2,11060,10551,5,11031,no trade,confirm-8.5343/,buy,buy-7.8734/confirm-9.6017/
51,2,0,102,10868,2,11072,10455,6,11067,sell,sell-7.4465/confirm-8.0325/,sell,sell-11.3691/confirm-12.4513/
52,2,0,97,10970,1,11067,10557,5,11042,buy,see-2.344/unsee-3.0333/buy-7.6884/confirm-8.186/,sell,buy-10.0783/sell-11.1779/confirm-12.7508/
53,2,0,97,10873,2,11067,10654,4,11042,no trade,see-1.0439/unsee-1.3339/see-3.9231/unsee-4.2052/confirm-7.5284/,buy,buy-7.6623/confirm-8.4239/
54,2,0,103,10873,2,11079,10557,5,11072,sell,sell-7.9888/confirm-8.993/,no trade,confirm-8.059/
55,2,0,100,10976,1,11076,10557,5,11057,no trade,confirm-8.1701/,no trade,sell-9.5554/buy-12.0343/sell-12.7383/
56,2,0,100,10976,1,11076,10557,5,11057,no trade,see-2.685/unsee-3.0601/confirm-7.3717/,sell,confirm-0.047652/sell-8.6608/confirm-9.694/
57,2,0,97,10976,1,11073,10657,4,11045,no trade,see-1.0394/unsee-1.5562/confirm-7.5884/,buy,buy-7.6539/confirm-8.4732/
58,2,0,103,10976,1,11079,10560,5,11075,sell,see-0.86064/unsee-4.0784/see-4.8592/unsee-6.9304/sell-7.7918/confirm-8.4829/,sell,sell-8.9815/confirm-11.367/
59,2,0,98,11079,0,11079,10663,4,11055,buy,see-5.3135/unsee-5.4795/see-6.5278/unsee-7.1422/buy-7.5949/confirm-8.0326/,no trade,confirm-11.4188/
60,2,0,104,10981,1,11085,10663,4,11079,sell,see-2.696/unsee-2.9834/sell-8.4824/confirm-8.8957/,sell,sell-7.6105/confirm-8.6144/
61,3,0,99,11085,0,11085,10767,3,11064,buy,buy-7.7776/confirm-8.0325/,no trade,confirm-8.292/
62,3,0,102,10986,1,11088,10767,3,11073,sell,sell-8.1804/confirm-8.8797/,sell,sell-11.1202/confirm-12.0638/
