trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,sell,sell-7.4398/confirm-8.0436/,buy,buy-5.3961/buy-7.6913/confirm-8.5463/
2,1,0,100,10100,9,11000,9900,11,11000,sell,sell-7.4378/confirm-8.1696/,buy,buy-4.9994/buy-8.7262/confirm-9.6546/
3,1,0,100,10200,8,11000,9800,12,11000,sell,sell-7.3784/confirm-9.3332/,no trade,see-6.471/unsee-6.6572/see-7.1682/unsee-7.4898/see-7.6402/unsee-7.7793/see-8.2168/unsee-8.5715/see-8.6947/unsee-9.0354/see-9.1724/unsee-9.3502/no trade-9.7032/sell-11.857/
4,1,0,97,10300,7,10979,9800,12,10964,sell,sell-8.4571/confirm-9.2943/,sell,confirm-0.047811/see-2.8747/unsee-3.9261/see-4.1242/unsee-5.0522/see-5.8052/unsee-6.0992/sell-8.1731/confirm-9.283/
5,1,0,93,10397,6,10955,9897,11,10920,sell,sell-7.2684/confirm-7.9402/,no trade,see-1.0312/unsee-3.8925/see-4.2744/unsee-4.5932/see-5.1618/unsee-7.6366/confirm-9.4877/
6,1,0,91,10490,5,10945,9897,11,10898,sell,sell-7.2785/confirm-7.9363/,sell,unsee-0.048596/see-0.49471/unsee-3.915/sell-10.684/confirm-11.7471/
7,1,0,87,10581,4,10929,9988,10,10858,sell,sell-7.1741/confirm-7.9249/,buy,see-1.2002/unsee-2.3218/buy-2.8963/buy-7.5485/confirm-8.1464/
8,1,0,87,10668,3,10929,9901,11,10858,sell,sell-7.2773/confirm-10.3733/,no trade,see-0.37362/unsee-3.8389/see-6.0312/unsee-9.0311/confirm-11.9721/
9,1,0,85,10755,2,10925,9901,11,10836,buy,buy-7.7506/confirm-8.774/,sell,see-0.43574/unsee-6.6315/sell-8.3328/confirm-10.2399/
10,1,0,85,10670,3,10925,9986,10,10836,sell,sell-7.1035/confirm-8.1024/,buy,see-2.3566/unsee-3.2088/see-3.5963/unsee-4.3139/see-4.5703/unsee-5.9811/see-6.1986/unsee-7.4662/buy-7.7283/confirm-8.1433/
11,1,0,85,10755,2,10925,9901,11,10836,sell,sell-6.9711/sell-7.3849/confirm-8.1026/,no trade,see-1.0976/unsee-2.5812/see-2.8409/unsee-4.0436/see-4.3838/unsee-5.079/confirm-8.9858/
12,1,0,83,10840,1,10923,9901,11,10814,buy,buy-9.7687/sell-11.7266/sell-11.8892/buy-12.7006/confirm-12.9117/,no trade,see-0.91391/unsee-3.9746/confirm-9.7976/
13,1,0,86,10757,2,10929,9901,11,10847,sell,sell-0.032667/sell-7.2472/confirm-7.9572/,buy,see-1.215/unsee-5.6907/see-6.4547/unsee-7.1246/sell-7.6042/buy-8.345/buy-8.5662/confirm-9.1064/
14,1,0,86,10843,1,10929,9815,12,10847,sell,sell-7.2895/confirm-7.8117/,no trade,see-0.70139/unsee-1.6801/sell-2.0676/confirm-7.8223/
15,1,0,84,10929,0,10929,9815,12,10823,no trade,confirm-7.6859/,sell,sell-1.6468/see-2.1722/unsee-6.8892/sell-7.5613/confirm-7.9788/
16,1,0,82,10929,0,10929,9899,11,10801,no trade,confirm-7.2118/,sell,unsee-0.047798/see-0.69084/unsee-3.5501/sell-7.5241/confirm-7.994/
17,1,0,80,10929,0,10929,9981,10,10781,no trade,confirm-7.345/,no trade,see-1.4333/unsee-6.083/confirm-9.5882/
18,1,0,80,10929,0,10929,9981,10,10781,no trade,confirm-7.2379/,no trade,see-1.2313/unsee-2.7767/confirm-7.9557/
19,1,0,80,10929,0,10929,9981,10,10781,no trade,confirm-7.2789/,buy,see-0.52847/unsee-2.1608/buy-8.0316/confirm-8.3695/
20,1,0,83,10929,0,10929,9901,11,10814,no trade,confirm-9.4293/,buy,see-1.2105/unsee-4.3443/buy-7.8221/confirm-8.0945/
21,2,0,86,10929,0,10929,9818,12,10850,no trade,confirm-9.676/,buy,see-1.2138/unsee-2.372/see-7.3838/unsee-8.3033/buy-8.4426/confirm-9.2344/
22,2,0,92,10929,0,10929,9732,13,10928,no trade,confirm-7.1943/,buy,see-0.54659/unsee-2.3472/buy-5.7023/buy-7.7189/confirm-8.932/
23,2,0,98,10929,0,10929,9640,14,11012,buy,buy-7.6233/confirm-9.7295/,buy,see-0.77019/unsee-3.2955/see-7.1747/unsee-7.6177/buy-7.7956/confirm-8.3087/
