trials,marketCondition,marketDramatic,stockPrice,player1Cash,player1Stock,player1TotalAsset,player2Cash,player2Stock,player2TotalAsset,player1Decision,player1event,player2Decision,player2event
1,1,0,100,10000,10,11000,10000,10,11000,no trade,sell-7.8144/,buy,buy-7.822/confirm-9.2011/
2,1,0,103,10000,10,11030,9900,11,11033,no trade,sell-0.04811/buy-7.4458/no trade-8.8281/see-10.7012/unsee-11.7802/see-12.5572/unsee-13.001/,no trade,buy-11.7515/
3,1,0,103,10000,10,11030,9900,11,11033,no trade,unsee-0.048422/see-0.79127/unsee-1.5723/see-1.895/unsee-3.1007/see-3.4523/unsee-4.6464/sell-7.3966/,sell,sell-7.2149/confirm-8.4183/
4,1,0,100,10000,10,11000,10003,10,11003,no trade,sell-0.048422/see-0.47006/unsee-1.7172/see-2.0455/unsee-3.567/see-3.9013/unsee-5.1927/see-5.7525/unsee-10.5905/buy-11.3146/no trade-12.8145/,sell,sell-8.9169/confirm-9.7029/
5,1,0,97,10000,10,10970,10103,9,10976,no trade,no trade-0.048119/see-0.61552/unsee-1.2962/see-1.6332/unsee-2.3993/see-2.8215/unsee-5.6502/see-6.1548/unsee-8.3077/buy-8.4866/no trade-10.396/,sell,sell-10.9529/confirm-11.3617/
6,1,0,95,10000,10,10950,10200,8,10960,no trade,see-2.544/unsee-3.2483/see-3.5121/unsee-4.7768/see-5.0313/unsee-7.2765/buy-7.8157/,sell,sell-8.5941/confirm-9.4128/
7,1,0,93,10000,10,10930,10295,7,10946,no trade,buy-0.047825/buy-1.131/buy-8.6272/,no trade,
8,1,0,93,10000,10,10930,10295,7,10946,buy,buy-0.048077/buy-7.784/confirm-8.373/,buy,buy-8.0312/confirm-8.5649/
9,1,0,98,9907,11,10985,10202,8,10986,no trade,buy-8.8102/see-9.6631/unsee-11.0314/no trade-11.3215/confirm-11.9507/,sell,sell-7.4547/confirm-8.0863/
10,1,0,96,9907,11,10963,10300,7,10972,no trade,see-3.196/unsee-4.1453/see-4.3883/unsee-5.5087/see-5.6786/unsee-7.6721/no trade-8.2031/confirm-8.8118/,sell,sell-7.3141/confirm-7.9104/
11,1,0,94,9907,11,10941,10396,6,10960,buy,see-0.76071/unsee-2.6216/see-2.8677/unsee-4.8731/buy-7.9132/confirm-8.6322/,sell,sell-7.5317/confirm-9.0676/
12,1,0,94,9813,12,10941,10490,5,10960,buy,see-4.0648/unsee-5.3709/see-5.7314/unsee-7.3031/buy-7.8717/confirm-8.7775/,buy,buy-7.4137/confirm-8.0593/
13,1,0,99,9719,13,11006,10396,6,10990,no trade,unsee-0.04801/see-1.5164/unsee-6.2156/no trade-7.7549/confirm-8.4739/,sell,buy-7.5841/sell-8.0901/confirm-8.7768/
14,1,0,97,9719,13,10980,10495,5,10980,buy,see-1.1862/unsee-2.3566/see-3.0312/unsee-5.5793/see-5.9604/unsee-7.5883/buy-7.802/confirm-8.6993/,sell,sell-8.1509/confirm-8.7464/
15,1,0,97,9622,14,10980,10592,4,10980,buy,unsee-0.047866/see-0.58274/unsee-4.3851/see-4.7045/unsee-7.2529/buy-7.6925/confirm-8.5408/,sell,sell-6.622/sell-7.4301/confirm-8.1883/
16,1,0,97,9525,15,10980,10689,3,10980,sell,see-4.37/unsee-4.7748/see-5.3696/unsee-6.1448/sell-7.4611/confirm-8.105/,no trade,confirm-8.3806/
17,1,0,95,9622,14,10952,10689,3,10974,buy,unsee-0.047812/see-3.7975/unsee-4.5519/see-4.7891/unsee-5.8062/see-6.0786/unsee-7.1371/sell-7.8699/no trade-9.1513/buy-10.4561/confirm-11.2725/,no trade,confirm-10.1159/
18,1,0,98,9527,15,10997,10689,3,10983,sell,see-4.0657/unsee-4.5579/see-4.7934/unsee-5.4212/see-5.6232/unsee-6.2448/see-6.5612/unsee-6.9951/sell-7.4951/confirm-8.162/,buy,buy-8.7703/confirm-9.7294/
19,1,0,98,9625,14,10997,10591,4,10983,no trade,see-1.7962/unsee-2.4263/see-2.6636/unsee-3.3713/see-3.6377/unsee-4.6133/see-4.8537/unsee-7.0657/see-7.3002/unsee-9.2762/see-9.8418/unsee-10.2961/buy-12.2351/no trade-12.9014/,sell,sell-11.8969/confirm-12.5529/
20,1,0,96,9625,14,10969,10689,3,10977,no trade,confirm-0.047704/see-0.41791/unsee-1.1074/see-1.342/unsee-7.2422/no trade-10.7901/,no trade,confirm-8.8838/
21,2,0,96,9625,14,10969,10689,3,10977,sell,confirm-0.047603/see-0.96913/unsee-1.514/see-1.76/unsee-2.6559/see-3.3332/unsee-4.0309/see-4.5707/unsee-6.0309/sell-8.317/confirm-9.4027/,buy,buy-11.1908/confirm-12.0365/
22,2,0,96,9721,13,10969,10593,4,10977,sell,see-1.3474/unsee-2.3234/see-2.5868/unsee-3.9699/see-4.2599/unsee-5.3449/see-5.594/unsee-6.3043/see-6.6004/unsee-7.334/see-7.9176/unsee-9.132/see-9.4163/unsee-10.2681/see-10.3735/unsee-10.4182/sell-10.608/confirm-11.3417/,buy,buy-7.986/confirm-8.6332/
